yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1433	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1433	Entry	Entry name		Protein names	Gene names	Organism	Length
SEC31A		D6RHZ5	D6RHZ5_HUMAN	unreviewed	Protein transport protein Sec31A	SEC31A	Homo sapiens (Human)	877
SEC31A		H0Y8V7	H0Y8V7_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	285
SEC31A		H0Y8W8	H0Y8W8_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	383
SEC31A		H0Y9K1	H0Y9K1_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	237
SEC31A		H0Y9T9	H0Y9T9_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	235
SEC31A		H0Y9V3	H0Y9V3_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	219
SEC31A		H0YAB3	H0YAB3_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	443
SEC31A		H0YAF5	H0YAF5_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	181
SEC31A		H7BXG7	H7BXG7_HUMAN	unreviewed	Protein transport protein Sec31A	SEC31A	Homo sapiens (Human)	969
SEC31A		O94979	SC31A_HUMAN	reviewed	Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein)	SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334	Homo sapiens (Human)	1220
SEC31A		U3KQC9	U3KQC9_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	65
SEC31A		U3KQR3	U3KQR3_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	11
SERP1		C9JSB0	C9JSB0_HUMAN	unreviewed	Stress-associated endoplasmic reticulum protein 1	SERP1	Homo sapiens (Human)	55
SERP1		C9JUH5	C9JUH5_HUMAN	unreviewed	Stress-associated endoplasmic reticulum protein 1	SERP1	Homo sapiens (Human)	78
SERP1		Q9Y6X1	SERP1_HUMAN	reviewed	Stress-associated endoplasmic reticulum protein 1 (Ribosome-attached membrane protein 4)	SERP1 RAMP4	Homo sapiens (Human)	66
SHC1		H0Y539	H0Y539_HUMAN	unreviewed	SHC-transforming protein 1 (Fragment)	SHC1	Homo sapiens (Human)	297
SHC1		P29353	SHC1_HUMAN	reviewed	SHC-transforming protein 1 (SHC-transforming protein 3) (SHC-transforming protein A) (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1)	SHC1 SHC SHCA	Homo sapiens (Human)	583
SHC1		Q5T181	Q5T181_HUMAN	unreviewed	SHC-transforming protein 1 (Fragment)	SHC1	Homo sapiens (Human)	137
SHC1		Q5T182	Q5T182_HUMAN	unreviewed	SHC-transforming protein 1 (Fragment)	SHC1	Homo sapiens (Human)	200
SHC1		Q5T187	Q5T187_HUMAN	unreviewed	SHC-transforming protein 1 (Fragment)	SHC1	Homo sapiens (Human)	129
SHC1		Q5T188	Q5T188_HUMAN	unreviewed	SHC-transforming protein 1 (Fragment)	SHC1	Homo sapiens (Human)	200
SHC1		X6R6D0	X6R6D0_HUMAN	unreviewed	SHC-transforming protein 1	SHC1	Homo sapiens (Human)	354
SKIV2L2		D6REC7	D6REC7_HUMAN	unreviewed	Superkiller viralicidic activity 2-like 2	SKIV2L2	Homo sapiens (Human)	89
SKIV2L2		H0Y8U3	H0Y8U3_HUMAN	unreviewed	Superkiller viralicidic activity 2-like 2 (Fragment)	SKIV2L2	Homo sapiens (Human)	88
SKIV2L2		H0YAC4	H0YAC4_HUMAN	unreviewed	Superkiller viralicidic activity 2-like 2 (Fragment)	SKIV2L2	Homo sapiens (Human)	72
SKIV2L2		L8E9T8	L8E9T8_HUMAN	unreviewed	Alternative protein SKIV2L2	SKIV2L2	Homo sapiens (Human)	59
SKIV2L2		P42285	SK2L2_HUMAN	reviewed	Superkiller viralicidic activity 2-like 2 (EC 3.6.4.13) (ATP-dependent RNA helicase DOB1) (ATP-dependent RNA helicase SKIV2L2) (TRAMP-like complex helicase)	SKIV2L2 DOB1 KIAA0052 Mtr4	Homo sapiens (Human)	1042
SKIV2L2		Q3MHC9	Q3MHC9_HUMAN	unreviewed	SKIV2L2 protein (Fragment)	SKIV2L2	Homo sapiens (Human)	67
SLC1A4		P43007	SATT_HUMAN	reviewed	Neutral amino acid transporter A (Alanine/serine/cysteine/threonine transporter 1) (ASCT-1) (SATT) (Solute carrier family 1 member 4)	SLC1A4 ASCT1 SATT	Homo sapiens (Human)	532
SLC30A5		D6REM2	D6REM2_HUMAN	unreviewed	Zinc transporter 5 (Fragment)	SLC30A5	Homo sapiens (Human)	71
SLC30A5		H0Y957	H0Y957_HUMAN	unreviewed	Zinc transporter 5 (Fragment)	SLC30A5	Homo sapiens (Human)	84
SLC30A5		H0YAH4	H0YAH4_HUMAN	unreviewed	Zinc transporter 5 (Fragment)	SLC30A5	Homo sapiens (Human)	65
SLC30A5		Q8TAD4	ZNT5_HUMAN	reviewed	Zinc transporter 5 (ZnT-5) (Solute carrier family 30 member 5) (ZnT-like transporter 1) (hZTL1)	SLC30A5 ZNT5 ZNTL1 ZTL1 UNQ863/PRO1879	Homo sapiens (Human)	765
SLC30A5		Q9BY48	Q9BY48_HUMAN	unreviewed	Putative disease resistance protein (Zinc transporter 5)	SLC30A5	Homo sapiens (Human)	360
SLC7A5		A0A0C4DGL4	A0A0C4DGL4_HUMAN	unreviewed	Large neutral amino acids transporter small subunit 1 (Solute carrier family 7 (Cationic amino acid transporter, y+ system), member 5, isoform CRA_b)	SLC7A5 hCG_1789357	Homo sapiens (Human)	241
SLC7A5		Q01650	LAT1_HUMAN	reviewed	Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (CD98 light chain) (Integral membrane protein E16) (L-type amino acid transporter 1) (hLAT1) (Solute carrier family 7 member 5) (y+ system cationic amino acid transporter)	SLC7A5 CD98LC LAT1 MPE16	Homo sapiens (Human)	507
SLC7A5		Q2MCL6	Q2MCL6_HUMAN	unreviewed	Large neutral amino acids transporter 1 (Fragment)	SLC7A5	Homo sapiens (Human)	71
SPCS1		C9JBL1	C9JBL1_HUMAN	unreviewed	Signal peptidase complex subunit 1	SPCS1	Homo sapiens (Human)	80
SPCS1		Q9Y6A9	SPCS1_HUMAN	reviewed	Signal peptidase complex subunit 1 (EC 3.4.-.-) (Microsomal signal peptidase 12 kDa subunit) (SPase 12 kDa subunit)	SPCS1 SPC12 HSPC033	Homo sapiens (Human)	102
SPCS1		X6R2S6	X6R2S6_HUMAN	unreviewed	Signal peptidase complex subunit 1 (Signal peptidase complex subunit 1 homolog (S. cerevisiae))	SPCS1 hCG_17554	Homo sapiens (Human)	169
SPCS3		D3DP46	D3DP46_HUMAN	unreviewed	Signal peptidase complex subunit 3 homolog (S. cerevisiae), isoform CRA_a	SPCS3 hCG_1787020	Homo sapiens (Human)	180
SPCS3		P61009	SPCS3_HUMAN	reviewed	Signal peptidase complex subunit 3 (EC 3.4.-.-) (Microsomal signal peptidase 22/23 kDa subunit) (SPC22/23) (SPase 22/23 kDa subunit)	SPCS3 SPC22 UNQ1841/PRO3567	Homo sapiens (Human)	180
SRPR		A0A024R3M0	A0A024R3M0_HUMAN	unreviewed	Signal recognition particle receptor ('docking protein'), isoform CRA_a	SRPR hCG_39128	Homo sapiens (Human)	414
SRPR		P08240	SRPRA_HUMAN	reviewed	Signal recognition particle receptor subunit alpha (SR-alpha) (Docking protein alpha) (DP-alpha)	SRPRA SRPR	Homo sapiens (Human)	638
SRPR		Q6IAX9	Q6IAX9_HUMAN	unreviewed	SRPR protein	SRPR	Homo sapiens (Human)	638
SRPRB		C9J5Z8	C9J5Z8_HUMAN	unreviewed	Signal recognition particle receptor subunit beta (Fragment)	SRPRB	Homo sapiens (Human)	92
SRPRB		H7C4H2	H7C4H2_HUMAN	unreviewed	Signal recognition particle receptor subunit beta (Fragment)	SRPRB	Homo sapiens (Human)	160
SRPRB		Q549N5	Q549N5_HUMAN	unreviewed	Signal recognition particle receptor beta subunit (Signal recognition particle receptor, B subunit, isoform CRA_b)	SRPRB hCG_2023561	Homo sapiens (Human)	271
SRPRB		Q9Y5M8	SRPRB_HUMAN	reviewed	Signal recognition particle receptor subunit beta (SR-beta) (Protein APMCF1)	SRPRB PSEC0230	Homo sapiens (Human)	271
SSR1		C9IZQ1	C9IZQ1_HUMAN	unreviewed	Translocon-associated protein subunit alpha	SSR1	Homo sapiens (Human)	298
SSR1		C9J3L8	C9J3L8_HUMAN	unreviewed	Translocon-associated protein subunit alpha	SSR1	Homo sapiens (Human)	265
SSR1		C9J5W0	C9J5W0_HUMAN	unreviewed	Translocon-associated protein subunit alpha	SSR1	Homo sapiens (Human)	266
SSR1		C9JBX5	C9JBX5_HUMAN	unreviewed	Translocon-associated protein subunit alpha	SSR1	Homo sapiens (Human)	218
SSR1		C9JY01	C9JY01_HUMAN	unreviewed	Translocon-associated protein subunit alpha (Fragment)	SSR1	Homo sapiens (Human)	103
SSR1		E9PAL7	E9PAL7_HUMAN	unreviewed	Translocon-associated protein subunit alpha	SSR1	Homo sapiens (Human)	291
SSR1		P43307	SSRA_HUMAN	reviewed	Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha) (SSR-alpha)	SSR1 TRAPA PSEC0262	Homo sapiens (Human)	286
STC2		E5RG57	E5RG57_HUMAN	unreviewed	Stanniocalcin-2 (Fragment)	STC2	Homo sapiens (Human)	53
STC2		H0YB13	H0YB13_HUMAN	unreviewed	Stanniocalcin-2 (Fragment)	STC2	Homo sapiens (Human)	123
STC2		O76061	STC2_HUMAN	reviewed	Stanniocalcin-2 (STC-2) (Stanniocalcin-related protein) (STC-related protein) (STCRP)	STC2	Homo sapiens (Human)	302
STC2		Q6FHC9	Q6FHC9_HUMAN	unreviewed	STC2 protein (Stanniocalcin 2, isoform CRA_a) (cDNA FLJ14757 fis, clone NT2RP3003242, highly similar to Stanniocalcin-2) (cDNA FLJ38572 fis, clone HCHON2006786, highly similar to Stanniocalcin-2) (cDNA PSEC0097 fis, clone NT2RP2002139, highly similar to Stanniocalcin-2) (Fragment)	STC2 hCG_40281	Homo sapiens (Human)	302
TARS		D6R9F8	D6R9F8_HUMAN	unreviewed	Threonine--tRNA ligase, cytoplasmic (Fragment)	TARS	Homo sapiens (Human)	129
TARS		D6RBR8	D6RBR8_HUMAN	unreviewed	Threonine--tRNA ligase, cytoplasmic (Fragment)	TARS	Homo sapiens (Human)	50
TARS		D6RCA5	D6RCA5_HUMAN	unreviewed	Threonine--tRNA ligase, cytoplasmic	TARS	Homo sapiens (Human)	118
TARS		D6RCS6	D6RCS6_HUMAN	unreviewed	Threonine--tRNA ligase, cytoplasmic	TARS	Homo sapiens (Human)	66
TARS		D6RDJ6	D6RDJ6_HUMAN	unreviewed	Threonine--tRNA ligase, cytoplasmic	TARS	Homo sapiens (Human)	131
TARS		D6RHV7	D6RHV7_HUMAN	unreviewed	Threonine--tRNA ligase, cytoplasmic	TARS	Homo sapiens (Human)	56
TARS		D6RJ97	D6RJ97_HUMAN	unreviewed	Threonine--tRNA ligase, cytoplasmic	TARS	Homo sapiens (Human)	55
TARS		P26639	SYTC_HUMAN	reviewed	Threonine--tRNA ligase, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	TARS	Homo sapiens (Human)	723
TARS		Q5M7Z9	Q5M7Z9_HUMAN	unreviewed	TARS protein (Fragment)	TARS	Homo sapiens (Human)	682
TATDN2		A0A024R2F3	A0A024R2F3_HUMAN	unreviewed	TatD DNase domain containing 2, isoform CRA_a	TATDN2 hCG_26732	Homo sapiens (Human)	761
TATDN2		H7BZJ2	H7BZJ2_HUMAN	unreviewed	Putative deoxyribonuclease TATDN2 (Fragment)	TATDN2	Homo sapiens (Human)	182
TATDN2		Q93075	TATD2_HUMAN	reviewed	Putative deoxyribonuclease TATDN2 (EC 3.1.21.-)	TATDN2 KIAA0218	Homo sapiens (Human)	761
TSPYL2		J3KS33	J3KS33_HUMAN	unreviewed	Testis-specific Y-encoded-like protein 2 (Fragment)	TSPYL2	Homo sapiens (Human)	250
TSPYL2		J3KST2	J3KST2_HUMAN	unreviewed	Testis-specific Y-encoded-like protein 2 (Fragment)	TSPYL2	Homo sapiens (Human)	123
TSPYL2		Q9H2G4	TSYL2_HUMAN	reviewed	Testis-specific Y-encoded-like protein 2 (TSPY-like protein 2) (Cell division autoantigen 1) (Cutaneous T-cell lymphoma-associated antigen se20-4) (CTCL-associated antigen se20-4) (Differentially-expressed nucleolar TGF-beta1 target protein) (Nuclear protein of 79 kDa) (NP79)	TSPYL2 CDA1 DENTT TSPX HRIHFB2216	Homo sapiens (Human)	693
TTC37		D6RCE2	D6RCE2_HUMAN	unreviewed	Tetratricopeptide repeat protein 37 (Fragment)	TTC37	Homo sapiens (Human)	611
TTC37		D6RDA0	D6RDA0_HUMAN	unreviewed	Tetratricopeptide repeat protein 37 (Fragment)	TTC37	Homo sapiens (Human)	95
TTC37		H0Y915	H0Y915_HUMAN	unreviewed	Tetratricopeptide repeat protein 37 (Fragment)	TTC37	Homo sapiens (Human)	33
TTC37		H0Y964	H0Y964_HUMAN	unreviewed	Tetratricopeptide repeat protein 37 (Fragment)	TTC37	Homo sapiens (Human)	130
TTC37		Q6PGP7	TTC37_HUMAN	reviewed	Tetratricopeptide repeat protein 37 (TPR repeat protein 37) (SKI3 homolog) (Ski3) (Tricho-hepatic-enteric syndrome protein) (Thespin)	TTC37 KIAA0372	Homo sapiens (Human)	1564
TUBB2A		A5D906	A5D906_HUMAN	unreviewed	Tubulin beta chain (Fragment)	TUBB2A	Homo sapiens (Human)	253
TUBB2A		A5D907	A5D907_HUMAN	unreviewed	Tubulin beta chain (Fragment)	TUBB2A	Homo sapiens (Human)	253
TUBB2A		Q13885	TBB2A_HUMAN	reviewed	Tubulin beta-2A chain (Tubulin beta class IIa)	TUBB2A TUBB2	Homo sapiens (Human)	445
VEGFA		A0A087WTP4	A0A087WTP4_HUMAN	unreviewed	Vascular endothelial growth factor A	VEGFA	Homo sapiens (Human)	327
VEGFA		A0A087X1L1	A0A087X1L1_HUMAN	unreviewed	Vascular endothelial growth factor A	VEGFA	Homo sapiens (Human)	317
VEGFA		A0A0A0MSH5	A0A0A0MSH5_HUMAN	unreviewed	Vascular endothelial growth factor A	VEGFA	Homo sapiens (Human)	395
VEGFA		A0A0A0MSH7	A0A0A0MSH7_HUMAN	unreviewed	Vascular endothelial growth factor A	VEGFA	Homo sapiens (Human)	354
VEGFA		A0A0A0MSI7	A0A0A0MSI7_HUMAN	unreviewed	Vascular endothelial growth factor A	VEGFA	Homo sapiens (Human)	389
VEGFA		A0A0A0MTB2	A0A0A0MTB2_HUMAN	unreviewed	Vascular endothelial growth factor A	VEGFA	Homo sapiens (Human)	371
VEGFA		A2A2V4	A2A2V4_HUMAN	unreviewed	Vascular endothelial growth factor A	VEGFA	Homo sapiens (Human)	163
VEGFA		H0YBI8	H0YBI8_HUMAN	unreviewed	Vascular endothelial growth factor A (Fragment)	VEGFA	Homo sapiens (Human)	111
VEGFA		H0YBZ0	H0YBZ0_HUMAN	unreviewed	Vascular endothelial growth factor A (Fragment)	VEGFA	Homo sapiens (Human)	323
VEGFA		H3BLW8	H3BLW8_HUMAN	unreviewed	Vascular endothelial growth factor A	VEGFA	Homo sapiens (Human)	371
VEGFA		J3KPA4	J3KPA4_HUMAN	unreviewed	Vascular endothelial growth factor A	VEGFA	Homo sapiens (Human)	412
VEGFA		P15692	VEGFA_HUMAN	reviewed	Vascular endothelial growth factor A (VEGF-A) (Vascular permeability factor) (VPF)	VEGFA VEGF	Homo sapiens (Human)	232
VEGFA		Q96FD9	Q96FD9_HUMAN	unreviewed	VEGFA protein (Fragment)	VEGFA	Homo sapiens (Human)	237
WFS1		A0A0E3H6T4	A0A0E3H6T4_HUMAN	unreviewed	Wolframin (Fragment)	wfs1	Homo sapiens (Human)	603
WFS1		A0A0S2Z4V4	A0A0S2Z4V4_HUMAN	unreviewed	Wolfram syndrome 1 isoform 2	WFS1	Homo sapiens (Human)	70
WFS1		A0A0S2Z4V6	A0A0S2Z4V6_HUMAN	unreviewed	Wolfram syndrome 1 isoform 1 (Fragment)	WFS1	Homo sapiens (Human)	890
WFS1		H0Y9G5	H0Y9G5_HUMAN	unreviewed	Wolframin (Fragment)	WFS1	Homo sapiens (Human)	252
WFS1		O76024	WFS1_HUMAN	reviewed	Wolframin	WFS1	Homo sapiens (Human)	890
WFS1		X2CT56	X2CT56_HUMAN	unreviewed	Truncated wolframin (Fragment)	wfs1	Homo sapiens (Human)	157
WIPI1		A0A024R8L5	A0A024R8L5_HUMAN	unreviewed	WD repeat domain, phosphoinositide interacting 1, isoform CRA_b	WIPI1 hCG_28468	Homo sapiens (Human)	446
WIPI1		G5EA37	G5EA37_HUMAN	unreviewed	WD repeat domain phosphoinositide-interacting protein 1 (WD repeat domain, phosphoinositide interacting 1, isoform CRA_a)	WIPI1 hCG_28468	Homo sapiens (Human)	364
WIPI1		K7EK57	K7EK57_HUMAN	unreviewed	WD repeat domain phosphoinositide-interacting protein 1	WIPI1	Homo sapiens (Human)	369
WIPI1		K7EKC5	K7EKC5_HUMAN	unreviewed	WD repeat domain phosphoinositide-interacting protein 1 (Fragment)	WIPI1	Homo sapiens (Human)	54
WIPI1		K7EKN0	K7EKN0_HUMAN	unreviewed	WD repeat domain phosphoinositide-interacting protein 1 (Fragment)	WIPI1	Homo sapiens (Human)	82
WIPI1		K7ELY0	K7ELY0_HUMAN	unreviewed	WD repeat domain phosphoinositide-interacting protein 1 (Fragment)	WIPI1	Homo sapiens (Human)	205
WIPI1		Q5MNZ9	WIPI1_HUMAN	reviewed	WD repeat domain phosphoinositide-interacting protein 1 (WIPI-1) (Atg18 protein homolog) (WD40 repeat protein interacting with phosphoinositides of 49 kDa) (WIPI 49 kDa)	WIPI1 WIPI49	Homo sapiens (Human)	446
XBP1		A0A024R1F0	A0A024R1F0_HUMAN	unreviewed	X-box binding protein 1, isoform CRA_b	XBP1 hCG_40980	Homo sapiens (Human)	261
XBP1		B1AHH1	B1AHH1_HUMAN	unreviewed	X-box-binding protein 1	XBP1	Homo sapiens (Human)	211
XBP1		B1AHH2	B1AHH2_HUMAN	unreviewed	X-box-binding protein 1	XBP1	Homo sapiens (Human)	266
XBP1		P17861	XBP1_HUMAN	reviewed	X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]	XBP1 TREB5 XBP2	Homo sapiens (Human)	261
XPOT		A0A024RB67	A0A024RB67_HUMAN	unreviewed	Exportin, tRNA (Nuclear export receptor for tRNAs), isoform CRA_a	XPOT hCG_2014672	Homo sapiens (Human)	617
XPOT		F5GYW6	F5GYW6_HUMAN	unreviewed	Exportin-T (Fragment)	XPOT	Homo sapiens (Human)	60
XPOT		F5GZM3	F5GZM3_HUMAN	unreviewed	Exportin-T (Fragment)	XPOT	Homo sapiens (Human)	63
XPOT		F8WDU6	F8WDU6_HUMAN	unreviewed	Exportin-T (Fragment)	XPOT	Homo sapiens (Human)	201
XPOT		O43592	XPOT_HUMAN	reviewed	Exportin-T (Exportin(tRNA)) (tRNA exportin)	XPOT	Homo sapiens (Human)	962
YIF1A		A0A087WUP4	A0A087WUP4_HUMAN	unreviewed	Protein YIF1A	YIF1A	Homo sapiens (Human)	118
YIF1A		A6NGW1	A6NGW1_HUMAN	unreviewed	Protein YIF1A	YIF1A	Homo sapiens (Human)	241
YIF1A		C9JST7	C9JST7_HUMAN	unreviewed	Protein YIF1A (Fragment)	YIF1A	Homo sapiens (Human)	199
YIF1A		E9PIZ0	E9PIZ0_HUMAN	unreviewed	Protein YIF1A (Fragment)	YIF1A	Homo sapiens (Human)	160
YIF1A		E9PK42	E9PK42_HUMAN	unreviewed	Protein YIF1A	YIF1A	Homo sapiens (Human)	53
YIF1A		E9PP02	E9PP02_HUMAN	unreviewed	Protein YIF1A	YIF1A	Homo sapiens (Human)	158
YIF1A		E9PS11	E9PS11_HUMAN	unreviewed	Protein YIF1A	YIF1A	Homo sapiens (Human)	79
YIF1A		O95070	YIF1A_HUMAN	reviewed	Protein YIF1A (54TMp) (YIP1-interacting factor homolog A)	YIF1A 54TM HYIF1P YIF1	Homo sapiens (Human)	293
YWHAZ		B0AZS6	B0AZS6_HUMAN	unreviewed	14-3-3 protein zeta/delta (cDNA, FLJ79516, highly similar to 14-3-3 protein zeta/delta)	YWHAZ	Homo sapiens (Human)	168
YWHAZ		B7Z2E6	B7Z2E6_HUMAN	unreviewed	14-3-3 protein zeta/delta (cDNA FLJ50142, highly similar to 14-3-3 protein zeta/delta (Protein kinase Cinhibitor protein 1))	YWHAZ	Homo sapiens (Human)	125
YWHAZ		D0PNI1	D0PNI1_HUMAN	unreviewed	Epididymis luminal protein 4 (Epididymis secretory protein Li 3) (Epididymis secretory protein Li 93) (Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta polypeptide) (Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide, isoform CRA_a)	YWHAZ HEL-S-3 HEL-S-93 HEL4 hCG_2009146	Homo sapiens (Human)	245
YWHAZ		E5RGE1	E5RGE1_HUMAN	unreviewed	14-3-3 protein zeta/delta (Fragment)	YWHAZ	Homo sapiens (Human)	51
YWHAZ		E5RIR4	E5RIR4_HUMAN	unreviewed	14-3-3 protein zeta/delta (Fragment)	YWHAZ	Homo sapiens (Human)	75
YWHAZ		E7ESK7	E7ESK7_HUMAN	unreviewed	14-3-3 protein zeta/delta (Fragment)	YWHAZ	Homo sapiens (Human)	137
YWHAZ		E7EVZ2	E7EVZ2_HUMAN	unreviewed	14-3-3 protein zeta/delta (Fragment)	YWHAZ	Homo sapiens (Human)	98
YWHAZ		E7EX29	E7EX29_HUMAN	unreviewed	14-3-3 protein zeta/delta (Fragment)	YWHAZ	Homo sapiens (Human)	246
YWHAZ		E9PD24	E9PD24_HUMAN	unreviewed	14-3-3 protein zeta/delta (Fragment)	YWHAZ	Homo sapiens (Human)	92
YWHAZ		H0YB80	H0YB80_HUMAN	unreviewed	14-3-3 protein zeta/delta (Fragment)	YWHAZ	Homo sapiens (Human)	130
YWHAZ		P63104	1433Z_HUMAN	reviewed	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	Homo sapiens (Human)	245
ZBTB17		H0Y6X2	H0Y6X2_HUMAN	unreviewed	Zinc finger and BTB domain-containing protein 17 (Fragment)	ZBTB17	Homo sapiens (Human)	241
ZBTB17		H7C1K8	H7C1K8_HUMAN	unreviewed	Zinc finger and BTB domain-containing protein 17 (Fragment)	ZBTB17	Homo sapiens (Human)	210
ZBTB17		Q13105	ZBT17_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 17 (Myc-interacting zinc finger protein 1) (Miz-1) (Zinc finger protein 151) (Zinc finger protein 60)	ZBTB17 MIZ1 ZNF151 ZNF60	Homo sapiens (Human)	803
