yourlist:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	isomap:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	Entry	Entry name		Protein names	Gene names	Organism	Length
DIABLO		F5GX50	F5GX50_HUMAN	unreviewed	Diablo homolog, mitochondrial (Fragment)	DIABLO	Homo sapiens (Human)	128
DIABLO		F5GXT8	F5GXT8_HUMAN	unreviewed	Diablo homolog, mitochondrial (Fragment)	DIABLO	Homo sapiens (Human)	133
DIABLO		F5GYH3	F5GYH3_HUMAN	unreviewed	Diablo homolog, mitochondrial (Fragment)	DIABLO	Homo sapiens (Human)	125
DIABLO		F5H0Q4	F5H0Q4_HUMAN	unreviewed	Diablo homolog, mitochondrial (Fragment)	DIABLO	Homo sapiens (Human)	77
DIABLO		F5H796	F5H796_HUMAN	unreviewed	Diablo homolog, mitochondrial (Fragment)	DIABLO	Homo sapiens (Human)	156
DIABLO		F8W6K8	F8W6K8_HUMAN	unreviewed	Diablo homolog, mitochondrial	DIABLO	Homo sapiens (Human)	46
DIABLO		H7BZK7	H7BZK7_HUMAN	unreviewed	Diablo homolog, mitochondrial (Fragment)	DIABLO	Homo sapiens (Human)	191
DIABLO		H7BZQ7	H7BZQ7_HUMAN	unreviewed	Diablo homolog, mitochondrial (Fragment)	DIABLO	Homo sapiens (Human)	120
DIABLO		K7X1S0	K7X1S0_HUMAN	unreviewed	SMAC-epsilon	DIABLO	Homo sapiens (Human)	142
DIABLO		Q502X2	Q502X2_HUMAN	unreviewed	Diablo homolog (Drosophila) (HCG1782202, isoform CRA_d) (cDNA FLJ10537 fis, clone NT2RP2001119, highly similar to Diablo homolog, mitochondrial)	DIABLO hCG_1782202	Homo sapiens (Human)	186
DIABLO		Q9NR28	DBLOH_HUMAN	reviewed	Diablo homolog, mitochondrial (Direct IAP-binding protein with low pI) (Second mitochondria-derived activator of caspase) (Smac)	DIABLO SMAC	Homo sapiens (Human)	239
DNAJA1		P31689	DNJA1_HUMAN	reviewed	DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (HSDJ) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2) (Human DnaJ protein 2) (hDj-2)	DNAJA1 DNAJ2 HDJ2 HSJ2 HSPF4	Homo sapiens (Human)	397
DNAJC3		A8KA82	A8KA82_HUMAN	unreviewed	DnaJ (Hsp40) homolog, subfamily C, member 3 (cDNA FLJ77657, highly similar to Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 3 (DNAJC3), mRNA) (cDNA, FLJ93304, Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 3 (DNAJC3),mRNA)	DNAJC3 hCG_28703	Homo sapiens (Human)	504
DNAJC3		Q13217	DNJC3_HUMAN	reviewed	DnaJ homolog subfamily C member 3 (Endoplasmic reticulum DNA J domain-containing protein 6) (ER-resident protein ERdj6) (ERdj6) (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)	DNAJC3 P58IPK PRKRI	Homo sapiens (Human)	504
DNAJC3		X6R9L0	X6R9L0_HUMAN	unreviewed	DnaJ homolog subfamily C member 3	DNAJC3	Homo sapiens (Human)	453
DNM1L		B4DDQ3	B4DDQ3_HUMAN	unreviewed	Dynamin-1-like protein (cDNA FLJ59840, highly similar to Dynamin-1-like protein (EC 3.6.5.5))	DNM1L	Homo sapiens (Human)	180
DNM1L		B4DPZ9	B4DPZ9_HUMAN	unreviewed	Dynamin-1-like protein (cDNA FLJ59948, highly similar to Dynamin-1-like protein (EC 3.6.5.5))	DNM1L	Homo sapiens (Human)	156
DNM1L		D3DUW5	D3DUW5_HUMAN	unreviewed	Dynamin 1-like, isoform CRA_c	DNM1L hCG_1810949	Homo sapiens (Human)	789
DNM1L		D3DUW6	D3DUW6_HUMAN	unreviewed	Dynamin 1-like, isoform CRA_f	DNM1L hCG_1810949	Homo sapiens (Human)	763
DNM1L		D3DUW7	D3DUW7_HUMAN	unreviewed	Dynamin 1-like, isoform CRA_a	DNM1L hCG_1810949	Homo sapiens (Human)	752
DNM1L		F8VR28	F8VR28_HUMAN	unreviewed	Dynamin-1-like protein	DNM1L	Homo sapiens (Human)	97
DNM1L		F8VUJ9	F8VUJ9_HUMAN	unreviewed	Dynamin-1-like protein (Fragment)	DNM1L	Homo sapiens (Human)	172
DNM1L		F8VYL3	F8VYL3_HUMAN	unreviewed	Dynamin-1-like protein	DNM1L	Homo sapiens (Human)	117
DNM1L		F8VZ52	F8VZ52_HUMAN	unreviewed	Dynamin-1-like protein (Fragment)	DNM1L	Homo sapiens (Human)	261
DNM1L		F8W1W3	F8W1W3_HUMAN	unreviewed	Dynamin-1-like protein (Fragment)	DNM1L	Homo sapiens (Human)	168
DNM1L		G8JLD5	G8JLD5_HUMAN	unreviewed	Dynamin-1-like protein	DNM1L	Homo sapiens (Human)	712
DNM1L		H0YHY4	H0YHY4_HUMAN	unreviewed	Dynamin-1-like protein (Fragment)	DNM1L	Homo sapiens (Human)	54
DNM1L		H0YI79	H0YI79_HUMAN	unreviewed	Dynamin-1-like protein (Fragment)	DNM1L	Homo sapiens (Human)	48
DNM1L		O00429	DNM1L_HUMAN	reviewed	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	Homo sapiens (Human)	736
DNM1L		Q32Q67	Q32Q67_HUMAN	unreviewed	DNM1L protein (Fragment)	DNM1L	Homo sapiens (Human)	575
DPYD		Q12882	DPYD_HUMAN	reviewed	Dihydropyrimidine dehydrogenase [NADP(+)] (DHPDHase) (DPD) (EC 1.3.1.2) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)	DPYD	Homo sapiens (Human)	1025
EBP		A0A024QYX0	A0A024QYX0_HUMAN	unreviewed	Emopamil binding protein (Emopamil binding protein (Sterol isomerase), isoform CRA_a)	EBP hCG_19812	Homo sapiens (Human)	230
EBP		C9J719	C9J719_HUMAN	unreviewed	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (Fragment)	EBP	Homo sapiens (Human)	145
EBP		C9JJ78	C9JJ78_HUMAN	unreviewed	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (Fragment)	EBP	Homo sapiens (Human)	160
EBP		Q15125	EBP_HUMAN	reviewed	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)	EBP	Homo sapiens (Human)	230
EGR3		E5RIM5	E5RIM5_HUMAN	unreviewed	Early growth response protein 3	EGR3	Homo sapiens (Human)	71
EGR3		Q06889	EGR3_HUMAN	reviewed	Early growth response protein 3 (EGR-3) (Zinc finger protein pilot)	EGR3 PILOT	Homo sapiens (Human)	387
EMP1		A0A024RAT0	A0A024RAT0_HUMAN	unreviewed	Epithelial membrane protein 1	EMP1 hCG_26571	Homo sapiens (Human)	157
EMP1		F5GYV0	F5GYV0_HUMAN	unreviewed	Epithelial membrane protein 1 (Fragment)	EMP1	Homo sapiens (Human)	146
EMP1		F5H2P5	F5H2P5_HUMAN	unreviewed	Epithelial membrane protein 1	EMP1	Homo sapiens (Human)	94
EMP1		F5H397	F5H397_HUMAN	unreviewed	Epithelial membrane protein 1	EMP1	Homo sapiens (Human)	69
EMP1		J3KQX4	J3KQX4_HUMAN	unreviewed	Epithelial membrane protein 1	EMP1	Homo sapiens (Human)	90
EMP1		P54849	EMP1_HUMAN	reviewed	Epithelial membrane protein 1 (EMP-1) (CL-20) (Protein B4B) (Tumor-associated membrane protein)	EMP1 B4B TMP	Homo sapiens (Human)	157
EMP1		Q8WWD6	Q8WWD6_HUMAN	unreviewed	EMP1 protein (Fragment)	EMP1	Homo sapiens (Human)	72
ENO2		F5H0C8	F5H0C8_HUMAN	unreviewed	Gamma-enolase	ENO2	Homo sapiens (Human)	315
ENO2		F5H1C3	F5H1C3_HUMAN	unreviewed	Gamma-enolase (Fragment)	ENO2	Homo sapiens (Human)	103
ENO2		P09104	ENOG_HUMAN	reviewed	Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE)	ENO2	Homo sapiens (Human)	434
ENO2		Q6FHV6	Q6FHV6_HUMAN	unreviewed	ENO2 protein (Enolase 2 (Gamma, neuronal), isoform CRA_a) (Epididymis secretory protein Li 279) (cDNA FLJ42665 fis, clone BRAMY2019989, highly similar to Gamma-enolase (EC 4.2.1.11)) (cDNA, FLJ92734, Homo sapiens enolase 2, (gamma, neuronal) (ENO2), mRNA)	ENO2 HEL-S-279 hCG_25937	Homo sapiens (Human)	434
ENO2		U3KQP4	U3KQP4_HUMAN	unreviewed	Gamma-enolase (Fragment)	ENO2	Homo sapiens (Human)	73
ENO2		U3KQQ1	U3KQQ1_HUMAN	unreviewed	Gamma-enolase (Fragment)	ENO2	Homo sapiens (Human)	86
ERBB2		A0A0R9RWK2	A0A0R9RWK2_HUMAN	unreviewed	Erb-b2 receptor tyrosine kinase 2 (Fragment)	ERBB2	Homo sapiens (Human)	15
ERBB2		B4DTR1	B4DTR1_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	ERBB2	Homo sapiens (Human)	979
ERBB2		E2I6F8	E2I6F8_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-2 variant (EC 2.7.10.1) (Fragment)	ERBB2	Homo sapiens (Human)	80
ERBB2		F5H1T4	F5H1T4_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-2	ERBB2	Homo sapiens (Human)	603
ERBB2		J3KRI9	J3KRI9_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-2	ERBB2	Homo sapiens (Human)	96
ERBB2		J3KTI5	J3KTI5_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-2 (Fragment)	ERBB2	Homo sapiens (Human)	251
ERBB2		J3QL83	J3QL83_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-2	ERBB2	Homo sapiens (Human)	90
ERBB2		J3QLU9	J3QLU9_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	ERBB2	Homo sapiens (Human)	1055
ERBB2		J3QLV2	J3QLV2_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-2 (Fragment)	ERBB2	Homo sapiens (Human)	102
ERBB2		J3QRJ7	J3QRJ7_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-2 (Fragment)	ERBB2	Homo sapiens (Human)	177
ERBB2		J3QRX1	J3QRX1_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-2 (Fragment)	ERBB2	Homo sapiens (Human)	166
ERBB2		L8E8G2	L8E8G2_HUMAN	unreviewed	Alternative protein ERBB2	ERBB2	Homo sapiens (Human)	87
ERBB2		P04626	ERBB2_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens (Human)	1255
ERBB2		Q4H1F1	Q4H1F1_HUMAN	unreviewed	ERBB2 (Fragment)	ERBB2	Homo sapiens (Human)	65
ERBB2		Q4H1F2	Q4H1F2_HUMAN	unreviewed	ERBB2 (Fragment)	ERBB2	Homo sapiens (Human)	63
ERBB2		Q9NP09	Q9NP09_HUMAN	unreviewed	ERBB2 (Fragment)	ERBB2	Homo sapiens (Human)	36
ERBB2		Q9UK79	Q9UK79_HUMAN	unreviewed	Herstatin (V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (Avian), isoform CRA_a)	HER-2 ERBB2 hCG_28177	Homo sapiens (Human)	419
ERBB2		X5DNK3	X5DNK3_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1) (Fragment)	ERBB2	Homo sapiens (Human)	1255
ERBB2		X5DQX2	X5DQX2_HUMAN	unreviewed	V-erb-b2 avian erythroblastic leukemia viral oncoprotein 2 isoform C (Fragment)	ERBB2	Homo sapiens (Human)	147
ERBB3		A0A024RB84	A0A024RB84_HUMAN	unreviewed	V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (Avian), isoform CRA_a	ERBB3 hCG_24980	Homo sapiens (Human)	1342
ERBB3		B3KWG5	B3KWG5_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-3 (cDNA FLJ43038 fis, clone BRTHA3002955, highly similar to Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1))	ERBB3	Homo sapiens (Human)	462
ERBB3		B4DGQ7	B4DGQ7_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-3 (cDNA FLJ59207, highly similar to Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1))	ERBB3	Homo sapiens (Human)	921
ERBB3		F8VRI5	F8VRI5_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-3	ERBB3	Homo sapiens (Human)	43
ERBB3		F8VRL0	F8VRL0_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-3 (Fragment)	ERBB3	Homo sapiens (Human)	126
ERBB3		F8VW48	F8VW48_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-3 (Fragment)	ERBB3	Homo sapiens (Human)	116
ERBB3		F8VW56	F8VW56_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-3	ERBB3	Homo sapiens (Human)	583
ERBB3		F8VX90	F8VX90_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-3 (Fragment)	ERBB3	Homo sapiens (Human)	115
ERBB3		F8VYK4	F8VYK4_HUMAN	unreviewed	Receptor tyrosine-protein kinase erbB-3 (Fragment)	ERBB3	Homo sapiens (Human)	649
ERBB3		O75812	O75812_HUMAN	unreviewed	ErbB-3 R31 (Receptor tyrosine-protein kinase erbB-3) (Fragment)	c-erbB-3 ERBB3	Homo sapiens (Human)	81
ERBB3		P21860	ERBB3_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)	ERBB3 HER3	Homo sapiens (Human)	1342
EREG		L8E9W3	L8E9W3_HUMAN	unreviewed	Alternative protein EREG	EREG	Homo sapiens (Human)	46
EREG		O14944	EREG_HUMAN	reviewed	Proepiregulin [Cleaved into: Epiregulin (EPR)]	EREG	Homo sapiens (Human)	169
ETF1		B7Z7P8	B7Z7P8_HUMAN	unreviewed	Eukaryotic peptide chain release factor subunit 1 (cDNA FLJ56175, highly similar to Eukaryotic peptide chain release factor subunit1)	ETF1	Homo sapiens (Human)	423
ETF1		D6RCB3	D6RCB3_HUMAN	unreviewed	Eukaryotic peptide chain release factor subunit 1	ETF1	Homo sapiens (Human)	95
ETF1		D6RJE8	D6RJE8_HUMAN	unreviewed	Eukaryotic peptide chain release factor subunit 1 (Fragment)	ETF1	Homo sapiens (Human)	119
ETF1		I3L492	I3L492_HUMAN	unreviewed	Eukaryotic peptide chain release factor subunit 1 (Fragment)	ETF1	Homo sapiens (Human)	208
ETF1		P62495	ERF1_HUMAN	reviewed	Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Protein Cl1) (TB3-1)	ETF1 ERF1 RF1 SUP45L1	Homo sapiens (Human)	437
F2		C9JV37	C9JV37_HUMAN	unreviewed	Prothrombin (Fragment)	F2	Homo sapiens (Human)	324
F2		E9PIT3	E9PIT3_HUMAN	unreviewed	Prothrombin	F2	Homo sapiens (Human)	583
F2		P00734	THRB_HUMAN	reviewed	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2	Homo sapiens (Human)	622
F2		Q15253	Q15253_HUMAN	unreviewed	F2 protein (Fragment)	F2	Homo sapiens (Human)	100
F2		Q86WA1	Q86WA1_HUMAN	unreviewed	Prothrombin (Fragment)	F2	Homo sapiens (Human)	42
F2		Q8TD58	Q8TD58_HUMAN	unreviewed	Prothrombin (EC 3.4.21.5) (Fragment)	F2	Homo sapiens (Human)	47
F2R		A0A024RAP7	A0A024RAP7_HUMAN	unreviewed	Coagulation factor II (Thrombin) receptor, isoform CRA_a	F2R hCG_37484	Homo sapiens (Human)	425
F2R		G3XAL6	G3XAL6_HUMAN	unreviewed	Coagulation factor II (Thrombin) receptor, isoform CRA_b (Proteinase-activated receptor 1)	F2R hCG_37484	Homo sapiens (Human)	102
F2R		P25116	PAR1_HUMAN	reviewed	Proteinase-activated receptor 1 (PAR-1) (Coagulation factor II receptor) (Thrombin receptor)	F2R CF2R PAR1 TR	Homo sapiens (Human)	425
FAS		A0A087WTM9	A0A087WTM9_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 6	FAS	Homo sapiens (Human)	244
FAS		E6Y7C3	E6Y7C3_HUMAN	unreviewed	FAS variant	FAS	Homo sapiens (Human)	255
FAS		E6Y7C4	E6Y7C4_HUMAN	unreviewed	FAS variant	FAS	Homo sapiens (Human)	214
FAS		F0UWG7	F0UWG7_HUMAN	unreviewed	FAS 827dupA variant	FAS	Homo sapiens (Human)	217
FAS		H7C5Z8	H7C5Z8_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 6	FAS	Homo sapiens (Human)	233
FAS		P25445	TNR6_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	FAS APT1 FAS1 TNFRSF6	Homo sapiens (Human)	335
FAS		P49327	FAS_HUMAN	reviewed	Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	FASN FAS	Homo sapiens (Human)	2511
FAS		Q9UET8	Q9UET8_HUMAN	unreviewed	Apoptosis signaling receptor FAS (Fragment)	FAS	Homo sapiens (Human)	18
FAS		S5PSV7	S5PSV7_HUMAN	unreviewed	FAS (Fragment)	FAS	Homo sapiens (Human)	110
FAS		S5PZ57	S5PZ57_HUMAN	unreviewed	FAS (Fragment)	FAS	Homo sapiens (Human)	110
FASLG		A0A0H3VB22	A0A0H3VB22_HUMAN	unreviewed	Mutant tumor necrosis factor family member 6	FASLG	Homo sapiens (Human)	281
FASLG		P48023	TNFL6_HUMAN	reviewed	Tumor necrosis factor ligand superfamily member 6 (Apoptosis antigen ligand) (APTL) (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]	FASLG APT1LG1 CD95L FASL TNFSF6	Homo sapiens (Human)	281
FASLG		Q0VHD7	Q0VHD7_HUMAN	unreviewed	CD95 ligand	FASLG	Homo sapiens (Human)	281
FASLG		Q53ZZ1	Q53ZZ1_HUMAN	unreviewed	FAS ligand (Fas ligand (TNF superfamily, member 6)) (Fas ligand (TNF superfamily, member 6), isoform CRA_b) (Tumor necrosis factor ligand 1A) (cDNA, FLJ95775, Homo sapiens tumor necrosis factor (ligand) superfamily, member 6(TNFSF6), mRNA)	TNFSF6 FASLG TNLG1A hCG_37643	Homo sapiens (Human)	281
FDXR		A0A0A0MSZ4	A0A0A0MSZ4_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)	FDXR	Homo sapiens (Human)	522
FDXR		A0A0A0MT64	A0A0A0MT64_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)	FDXR	Homo sapiens (Human)	534
FDXR		A0A0A0MTN9	A0A0A0MTN9_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)	FDXR	Homo sapiens (Human)	439
FDXR		A0A0A0MTR6	A0A0A0MTR6_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)	FDXR	Homo sapiens (Human)	483
FDXR		A0A0C4DFN8	A0A0C4DFN8_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)	FDXR	Homo sapiens (Human)	491
FDXR		A0A0C4DGN7	A0A0C4DGN7_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)	FDXR	Homo sapiens (Human)	497
FDXR		J3KRG8	J3KRG8_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial	FDXR	Homo sapiens (Human)	46
FDXR		J3KS64	J3KS64_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial	FDXR	Homo sapiens (Human)	91
FDXR		J3KTA3	J3KTA3_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (Fragment)	FDXR	Homo sapiens (Human)	46
FDXR		J3QKZ8	J3QKZ8_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (Fragment)	FDXR	Homo sapiens (Human)	164
FDXR		J3QQW7	J3QQW7_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (Fragment)	FDXR	Homo sapiens (Human)	178
FDXR		J3QQX3	J3QQX3_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial	FDXR	Homo sapiens (Human)	463
FDXR		J3QSF9	J3QSF9_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial	FDXR	Homo sapiens (Human)	76
FDXR		P22570	ADRO_HUMAN	reviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)	FDXR ADXR	Homo sapiens (Human)	491
FDXR		Q6GSK2	Q6GSK2_HUMAN	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)	FDXR hCG_29834	Homo sapiens (Human)	491
FEZ1		A0A024R3I7	A0A024R3I7_HUMAN	unreviewed	Fasciculation and elongation protein zeta 1 (Zygin I), isoform CRA_a	FEZ1 hCG_38917	Homo sapiens (Human)	392
FEZ1		E9PNH2	E9PNH2_HUMAN	unreviewed	Fasciculation and elongation protein zeta-1 (Fragment)	FEZ1	Homo sapiens (Human)	79
FEZ1		J3KTR6	J3KTR6_HUMAN	unreviewed	Fasciculation and elongation protein zeta-1 (Fragment)	FEZ1	Homo sapiens (Human)	207
FEZ1		Q99689	FEZ1_HUMAN	reviewed	Fasciculation and elongation protein zeta-1 (Zygin I) (Zygin-1)	FEZ1	Homo sapiens (Human)	392
FEZ1		Q9Y250	LZTS1_HUMAN	reviewed	Leucine zipper putative tumor suppressor 1 (F37/esophageal cancer-related gene-coding leucine-zipper motif) (Fez1)	LZTS1 FEZ1	Homo sapiens (Human)	596
GADD45A		A5JUZ3	A5JUZ3_HUMAN	unreviewed	Growth arrest and DNA damage-inducible protein GADD45 alpha (Growth arrest and DNA-damage-inducible 45 alpha)	GADD45A	Homo sapiens (Human)	60
GADD45A		P24522	GA45A_HUMAN	reviewed	Growth arrest and DNA damage-inducible protein GADD45 alpha (DNA damage-inducible transcript 1 protein) (DDIT-1)	GADD45A DDIT1 GADD45	Homo sapiens (Human)	165
GADD45B		K7EM97	K7EM97_HUMAN	unreviewed	Growth arrest and DNA damage-inducible protein GADD45 beta	GADD45B	Homo sapiens (Human)	60
GADD45B		K7EPQ8	K7EPQ8_HUMAN	unreviewed	Growth arrest and DNA damage-inducible protein GADD45 beta	GADD45B	Homo sapiens (Human)	176
GADD45B		O75293	GA45B_HUMAN	reviewed	Growth arrest and DNA damage-inducible protein GADD45 beta (Myeloid differentiation primary response protein MyD118) (Negative growth regulatory protein MyD118)	GADD45B MYD118	Homo sapiens (Human)	160
GADD45B		Q6IX74	Q6IX74_HUMAN	unreviewed	Growth arrest and DNA damage-inducible protein GADD45 beta (Growth arrest and DNA-damage-inducible beta) (Fragment)	GADD45B	Homo sapiens (Human)	66
GCH1		A0A024R642	A0A024R642_HUMAN	unreviewed	GTP cyclohydrolase 1 (Dopa-responsive dystonia), isoform CRA_a	GCH1 hCG_22618	Homo sapiens (Human)	250
GCH1		P30793	GCH1_HUMAN	reviewed	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	GCH1 DYT5 GCH	Homo sapiens (Human)	250
GNA15		K7EP74	K7EP74_HUMAN	unreviewed	Guanine nucleotide-binding protein subunit alpha-15	GNA15	Homo sapiens (Human)	52
GNA15		P30679	GNA15_HUMAN	reviewed	Guanine nucleotide-binding protein subunit alpha-15 (G alpha-15) (G-protein subunit alpha-15) (Epididymis tissue protein Li 17E) (Guanine nucleotide-binding protein subunit alpha-16) (G alpha-16) (G-protein subunit alpha-16)	GNA15 GNA16	Homo sapiens (Human)	374
GPX1		A0A024R2T1	A0A024R2T1_HUMAN	unreviewed	Glutathione peroxidase 1	GPX1 hCG_20134	Homo sapiens (Human)	47
GPX1		A0A087WUQ6	A0A087WUQ6_HUMAN	unreviewed	Glutathione peroxidase	GPX1	Homo sapiens (Human)	202
GPX1		P07203	GPX1_HUMAN	reviewed	Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase)	GPX1	Homo sapiens (Human)	203
GPX1		Q6NSD4	Q6NSD4_HUMAN	unreviewed	Glutathione peroxidase	GPX1	Homo sapiens (Human)	145
GPX1		Q7L4Q3	Q7L4Q3_HUMAN	unreviewed	Glutathione peroxidase	GPX1	Homo sapiens (Human)	203
GPX1		X5D926	X5D926_HUMAN	unreviewed	Glutathione peroxidase 1 isoform A	GPX1	Homo sapiens (Human)	48
GPX1		X5DQZ7	X5DQZ7_HUMAN	unreviewed	Glutathione peroxidase 1 isoform A	GPX1	Homo sapiens (Human)	46
GPX3		A0A087X1J7	A0A087X1J7_HUMAN	unreviewed	Glutathione peroxidase	GPX3	Homo sapiens (Human)	225
GPX3		A0A182DWH9	A0A182DWH9_HUMAN	unreviewed	Glutathione peroxidase 3	GPX3	Homo sapiens (Human)	100
GPX3		A0A182DWI0	A0A182DWI0_HUMAN	unreviewed	Glutathione peroxidase 3	GPX3	Homo sapiens (Human)	63
GPX3		D3DQH2	D3DQH2_HUMAN	unreviewed	Glutathione peroxidase 3 (Plasma), isoform CRA_a	GPX3 hCG_39155	Homo sapiens (Human)	111
GPX3		E5RG32	E5RG32_HUMAN	unreviewed	Glutathione peroxidase (Fragment)	GPX3	Homo sapiens (Human)	138
GPX3		H0YBE4	H0YBE4_HUMAN	unreviewed	Glutathione peroxidase 3 (Fragment)	GPX3	Homo sapiens (Human)	79
