yourlist:M20170427AAFB7E4D2F1D05654627429E83DA5CCEB41A64P	isomap:M20170427AAFB7E4D2F1D05654627429E83DA5CCEB41A64P	Entry	Entry name		Protein names	Gene names	Organism	Length
RAB3GAP1		B9A6J2	B9A6J2_HUMAN	unreviewed	RAB3 GTPase activating protein subunit 1 (RAB3 GTPase activating protein subunit 1 (Catalytic), isoform CRA_d)	RAB3GAP1 hCG_25660	Homo sapiens (Human)	981
RAB3GAP1		C9J1R5	C9J1R5_HUMAN	unreviewed	Rab3 GTPase-activating protein catalytic subunit	RAB3GAP1	Homo sapiens (Human)	58
RAB3GAP1		D3DP75	D3DP75_HUMAN	unreviewed	RAB3 GTPase activating protein subunit 1 (Catalytic), isoform CRA_a	RAB3GAP1 hCG_25660	Homo sapiens (Human)	881
RAB3GAP1		Q15042	RB3GP_HUMAN	reviewed	Rab3 GTPase-activating protein catalytic subunit (RAB3 GTPase-activating protein 130 kDa subunit) (Rab3-GAP p130) (Rab3-GAP)	RAB3GAP1 KIAA0066 RAB3GAP	Homo sapiens (Human)	981
RABGAP1		B5MCD9	B5MCD9_HUMAN	unreviewed	Rab GTPase-activating protein 1 (Fragment)	RABGAP1	Homo sapiens (Human)	112
RABGAP1		C9JGR5	C9JGR5_HUMAN	unreviewed	Rab GTPase-activating protein 1	RABGAP1	Homo sapiens (Human)	66
RABGAP1		H9NIL4	H9NIL4_HUMAN	unreviewed	G protein-coupled receptor 21 (Rab GTPase-activating protein 1)	RABGAP1	Homo sapiens (Human)	349
RABGAP1		Q9Y3P9	RBGP1_HUMAN	reviewed	Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA)	RABGAP1 HSPC094	Homo sapiens (Human)	1069
RACGAP1		A0A024R136	A0A024R136_HUMAN	unreviewed	Rac GTPase activating protein 1, isoform CRA_a	RACGAP1 hCG_20202	Homo sapiens (Human)	632
RACGAP1		F8VQF5	F8VQF5_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	67
RACGAP1		F8VQZ5	F8VQZ5_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	124
RACGAP1		F8VRD2	F8VRD2_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	293
RACGAP1		F8VRL2	F8VRL2_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	34
RACGAP1		F8VS54	F8VS54_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	129
RACGAP1		F8VUW9	F8VUW9_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	107
RACGAP1		F8VV37	F8VV37_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	152
RACGAP1		F8VV39	F8VV39_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	111
RACGAP1		F8VV47	F8VV47_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	155
RACGAP1		F8VVE5	F8VVE5_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	177
RACGAP1		F8VVY0	F8VVY0_HUMAN	unreviewed	Rac GTPase-activating protein 1	RACGAP1	Homo sapiens (Human)	49
RACGAP1		F8VWX0	F8VWX0_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	130
RACGAP1		F8VWY4	F8VWY4_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	174
RACGAP1		F8VXH1	F8VXH1_HUMAN	unreviewed	Rac GTPase-activating protein 1	RACGAP1	Homo sapiens (Human)	56
RACGAP1		F8VYH6	F8VYH6_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	83
RACGAP1		F8VZ41	F8VZ41_HUMAN	unreviewed	Rac GTPase-activating protein 1	RACGAP1	Homo sapiens (Human)	117
RACGAP1		F8VZ66	F8VZ66_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	150
RACGAP1		F8W0L1	F8W0L1_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	139
RACGAP1		F8W1E5	F8W1E5_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	155
RACGAP1		F8W1T4	F8W1T4_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	136
RACGAP1		H0YIK5	H0YIK5_HUMAN	unreviewed	Rac GTPase-activating protein 1 (Fragment)	RACGAP1	Homo sapiens (Human)	280
RACGAP1		Q9H0H5	RGAP1_HUMAN	reviewed	Rac GTPase-activating protein 1 (Male germ cell RacGap) (MgcRacGAP) (Protein CYK4 homolog) (CYK4) (HsCYK-4)	RACGAP1 KIAA1478 MGCRACGAP	Homo sapiens (Human)	632
RALBP1		E7ENF8	E7ENF8_HUMAN	unreviewed	RalA-binding protein 1 (Fragment)	RALBP1	Homo sapiens (Human)	207
RALBP1		J3QLT3	J3QLT3_HUMAN	unreviewed	RalA-binding protein 1 (Fragment)	RALBP1	Homo sapiens (Human)	186
RALBP1		Q15311	RBP1_HUMAN	reviewed	RalA-binding protein 1 (RalBP1) (76 kDa Ral-interacting protein) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (Ral-interacting protein 1)	RALBP1 RLIP1 RLIP76	Homo sapiens (Human)	655
RANBP9		A0A024QZW3	A0A024QZW3_HUMAN	unreviewed	RAN binding protein 9, isoform CRA_a	RANBP9 hCG_36756	Homo sapiens (Human)	729
RANBP9		A0A024R014	A0A024R014_HUMAN	unreviewed	RAN binding protein 9, isoform CRA_b	RANBP9 hCG_36756	Homo sapiens (Human)	569
RANBP9		Q96P70	IPO9_HUMAN	reviewed	Importin-9 (Imp9) (Ran-binding protein 9) (RanBP9)	IPO9 IMP9 KIAA1192 RANBP9 HSPC273	Homo sapiens (Human)	1041
RANBP9		Q96S59	RANB9_HUMAN	reviewed	Ran-binding protein 9 (RanBP9) (BPM-L) (BPM90) (Ran-binding protein M) (RanBPM) (RanBP7)	RANBP9 RANBPM	Homo sapiens (Human)	729
RAPGEF5		A0A0S2Z561	A0A0S2Z561_HUMAN	unreviewed	HCG38228, isoform CRA_b (Rap guanine nucleotide exchange factor 5 isoform 2) (Fragment)	RAPGEF5 hCG_38228	Homo sapiens (Human)	580
RAPGEF5		A0A0S2Z5S1	A0A0S2Z5S1_HUMAN	unreviewed	Rap guanine nucleotide exchange factor 5 isoform 1 (Fragment)	RAPGEF5	Homo sapiens (Human)	444
RAPGEF5		A8MQ07	A8MQ07_HUMAN	unreviewed	Rap guanine nucleotide exchange factor 5	RAPGEF5	Homo sapiens (Human)	730
RAPGEF5		C9JBS6	C9JBS6_HUMAN	unreviewed	Rap guanine nucleotide exchange factor 5 (Fragment)	RAPGEF5	Homo sapiens (Human)	142
RAPGEF5		C9JHM4	C9JHM4_HUMAN	unreviewed	Rap guanine nucleotide exchange factor 5 (Fragment)	RAPGEF5	Homo sapiens (Human)	155
RAPGEF5		E9PGY3	E9PGY3_HUMAN	unreviewed	Rap guanine nucleotide exchange factor 5	RAPGEF5	Homo sapiens (Human)	400
RAPGEF5		F8WD32	F8WD32_HUMAN	unreviewed	Rap guanine nucleotide exchange factor 5	RAPGEF5	Homo sapiens (Human)	124
RAPGEF5		Q92565	RPGF5_HUMAN	reviewed	Rap guanine nucleotide exchange factor 5 (Guanine nucleotide exchange factor for Rap1) (M-Ras-regulated Rap GEF) (MR-GEF) (Related to Epac) (Repac)	RAPGEF5 GFR KIAA0277 MRGEF	Homo sapiens (Human)	580
RAPGEF6		B2RTU6	B2RTU6_HUMAN	unreviewed	HCG1981012, isoform CRA_b (RAPGEF6 protein)	RAPGEF6 hCG_1981012	Homo sapiens (Human)	1609
RAPGEF6		B7Z7Y1	B7Z7Y1_HUMAN	unreviewed	Rap guanine nucleotide exchange factor 6 (cDNA FLJ53249, highly similar to Rap guanine nucleotide exchange factor 6)	RAPGEF6	Homo sapiens (Human)	1204
RAPGEF6		D6RB02	D6RB02_HUMAN	unreviewed	Rap guanine nucleotide exchange factor 6 (Fragment)	RAPGEF6	Homo sapiens (Human)	155
RAPGEF6		D6RD23	D6RD23_HUMAN	unreviewed	Rap guanine nucleotide exchange factor 6 (Fragment)	RAPGEF6	Homo sapiens (Human)	149
RAPGEF6		D6RE77	D6RE77_HUMAN	unreviewed	Rap guanine nucleotide exchange factor 6	RAPGEF6	Homo sapiens (Human)	1114
RAPGEF6		D6RIH0	D6RIH0_HUMAN	unreviewed	Rap guanine nucleotide exchange factor 6 (Fragment)	RAPGEF6	Homo sapiens (Human)	155
RAPGEF6		Q8TEU7	RPGF6_HUMAN	reviewed	Rap guanine nucleotide exchange factor 6 (PDZ domain-containing guanine nucleotide exchange factor 2) (PDZ-GEF2) (RA-GEF-2)	RAPGEF6 PDZGEF2	Homo sapiens (Human)	1601
RASA1		A0A024RAL2	A0A024RAL2_HUMAN	unreviewed	RAS p21 protein activator (GTPase activating protein) 1, isoform CRA_b	RASA1 hCG_36844	Homo sapiens (Human)	1047
RASA1		E9PGC0	E9PGC0_HUMAN	unreviewed	Ras GTPase-activating protein 1	RASA1	Homo sapiens (Human)	881
RASA1		P20936	RASA1_HUMAN	reviewed	Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP)	RASA1 GAP RASA	Homo sapiens (Human)	1047
RASA1		Q05CU5	Q05CU5_HUMAN	unreviewed	RASA1 protein (Fragment)	RASA1	Homo sapiens (Human)	317
RASA1		Q7Z4M2	Q7Z4M2_HUMAN	unreviewed	RASA1 protein (Fragment)	RASA1	Homo sapiens (Human)	313
RASA2		A0A0A0MSJ9	A0A0A0MSJ9_HUMAN	unreviewed	Ras GTPase-activating protein 2	RASA2	Homo sapiens (Human)	853
RASA2		D6RBA9	D6RBA9_HUMAN	unreviewed	Ras GTPase-activating protein 2	RASA2	Homo sapiens (Human)	47
RASA2		Q15283	RASA2_HUMAN	reviewed	Ras GTPase-activating protein 2 (GTPase-activating protein 1m) (GAP1m)	RASA2 GAP1M RASGAP	Homo sapiens (Human)	850
RASAL2		H0Y638	H0Y638_HUMAN	unreviewed	Ras GTPase-activating protein nGAP (Fragment)	RASAL2	Homo sapiens (Human)	693
RASAL2		Q6P4F9	Q6P4F9_HUMAN	unreviewed	RASAL2 protein (Fragment)	RASAL2	Homo sapiens (Human)	370
RASAL2		Q9UJF2	NGAP_HUMAN	reviewed	Ras GTPase-activating protein nGAP (RAS protein activator-like 2)	RASAL2 NGAP	Homo sapiens (Human)	1139
RFC1		D6RAD2	D6RAD2_HUMAN	unreviewed	Replication factor C subunit 1 (Fragment)	RFC1	Homo sapiens (Human)	132
RFC1		E0CX09	E0CX09_HUMAN	unreviewed	Replication factor C subunit 1	RFC1	Homo sapiens (Human)	130
RFC1		H0Y8U4	H0Y8U4_HUMAN	unreviewed	Replication factor C subunit 1 (Fragment)	RFC1	Homo sapiens (Human)	187
RFC1		H0Y9P8	H0Y9P8_HUMAN	unreviewed	Replication factor C subunit 1 (Fragment)	RFC1	Homo sapiens (Human)	101
RFC1		P35251	RFC1_HUMAN	reviewed	Replication factor C subunit 1 (Activator 1 140 kDa subunit) (A1 140 kDa subunit) (Activator 1 large subunit) (Activator 1 subunit 1) (DNA-binding protein PO-GA) (Replication factor C 140 kDa subunit) (RF-C 140 kDa subunit) (RFC140) (Replication factor C large subunit)	RFC1 RFC140	Homo sapiens (Human)	1148
RFC1		P41440	S19A1_HUMAN	reviewed	Folate transporter 1 (FOLT) (Intestinal folate carrier 1) (IFC-1) (Placental folate transporter) (Reduced folate carrier protein) (RFC) (Solute carrier family 19 member 1)	SLC19A1 FLOT1 RFC1	Homo sapiens (Human)	591
RHOF		F5GXB1	F5GXB1_HUMAN	unreviewed	Rho-related GTP-binding protein RhoF (Fragment)	RHOF	Homo sapiens (Human)	113
RHOF		Q9HBH0	RHOF_HUMAN	reviewed	Rho-related GTP-binding protein RhoF (Rho family GTPase Rif) (Rho in filopodia)	RHOF ARHF RIF	Homo sapiens (Human)	211
RHOF		V9GY67	V9GY67_HUMAN	unreviewed	Rho-related GTP-binding protein RhoF	RHOF	Homo sapiens (Human)	111
RHOF		V9GYB3	V9GYB3_HUMAN	unreviewed	Rho-related GTP-binding protein RhoF (Fragment)	RHOF	Homo sapiens (Human)	30
RHOF		V9GYQ1	V9GYQ1_HUMAN	unreviewed	Rho-related GTP-binding protein RhoF (Fragment)	RHOF	Homo sapiens (Human)	75
RHOT2		H3BMP9	H3BMP9_HUMAN	unreviewed	Mitochondrial Rho GTPase 2	RHOT2	Homo sapiens (Human)	55
RHOT2		H3BP40	H3BP40_HUMAN	unreviewed	Mitochondrial Rho GTPase 2	RHOT2	Homo sapiens (Human)	80
RHOT2		H3BST5	H3BST5_HUMAN	unreviewed	Mitochondrial Rho GTPase 2 (Fragment)	RHOT2	Homo sapiens (Human)	208
RHOT2		H3BU27	H3BU27_HUMAN	unreviewed	Mitochondrial Rho GTPase 2 (Fragment)	RHOT2	Homo sapiens (Human)	155
RHOT2		H3BUX4	H3BUX4_HUMAN	unreviewed	Mitochondrial Rho GTPase 2	RHOT2	Homo sapiens (Human)	135
RHOT2		H3BVI5	H3BVI5_HUMAN	unreviewed	Mitochondrial Rho GTPase 2	RHOT2	Homo sapiens (Human)	72
RHOT2		I3L2C6	I3L2C6_HUMAN	unreviewed	Mitochondrial Rho GTPase 2 (Fragment)	RHOT2	Homo sapiens (Human)	214
RHOT2		Q8IXI1	MIRO2_HUMAN	reviewed	Mitochondrial Rho GTPase 2 (MIRO-2) (hMiro-2) (EC 3.6.5.-) (Ras homolog gene family member T2)	RHOT2 ARHT2 C16orf39	Homo sapiens (Human)	618
RICTOR		D6R9S6	D6R9S6_HUMAN	unreviewed	Rapamycin-insensitive companion of mTOR (Fragment)	RICTOR	Homo sapiens (Human)	224
RICTOR		Q6R327	RICTR_HUMAN	reviewed	Rapamycin-insensitive companion of mTOR (AVO3 homolog) (hAVO3)	RICTOR KIAA1999	Homo sapiens (Human)	1708
RICTOR		Q8N6M7	Q8N6M7_HUMAN	unreviewed	RICTOR protein	RICTOR	Homo sapiens (Human)	265
ROCK1		A0A0U1RQV4	A0A0U1RQV4_HUMAN	unreviewed	Rho-associated protein kinase 1	ROCK1	Homo sapiens (Human)	1137
ROCK1		D9ZGF8	D9ZGF8_HUMAN	unreviewed	Rho-associated protein kinase (EC 2.7.11.1)	ROCK1	Homo sapiens (Human)	1354
ROCK1		J3KRH6	J3KRH6_HUMAN	unreviewed	Rho-associated protein kinase 1 (Fragment)	ROCK1	Homo sapiens (Human)	99
ROCK1		Q13464	ROCK1_HUMAN	reviewed	Rho-associated protein kinase 1 (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-35) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p160 ROCK-1) (p160ROCK)	ROCK1	Homo sapiens (Human)	1354
ROCK1		Q49AA3	Q49AA3_HUMAN	unreviewed	ROCK1 protein	ROCK1	Homo sapiens (Human)	118
SAC3D1		A6NKF1	SAC31_HUMAN	reviewed	SAC3 domain-containing protein 1 (SAC3 homology domain-containing protein 1)	SAC3D1 SHD1	Homo sapiens (Human)	404
SAC3D1		F8WC89	F8WC89_HUMAN	unreviewed	SAC3 domain-containing protein 1	SAC3D1	Homo sapiens (Human)	358
SAC3D1		H0YEW7	H0YEW7_HUMAN	unreviewed	SAC3 domain-containing protein 1 (Fragment)	SAC3D1	Homo sapiens (Human)	239
SASS6		Q495U0	Q495U0_HUMAN	unreviewed	SASS6 protein	SASS6	Homo sapiens (Human)	490
SASS6		Q6UVJ0	SAS6_HUMAN	reviewed	Spindle assembly abnormal protein 6 homolog (HsSAS-6)	SASS6 SAS6	Homo sapiens (Human)	657
SEPT9		A0A024R8Q0	A0A024R8Q0_HUMAN	unreviewed	Septin 9, isoform CRA_b	SEPT9 hCG_1986631	Homo sapiens (Human)	422
SEPT9		A0A024R8V0	A0A024R8V0_HUMAN	unreviewed	Septin 9, isoform CRA_a	SEPT9 hCG_1986631	Homo sapiens (Human)	568
SEPT9		A0A0J9YWJ2	A0A0J9YWJ2_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	10
SEPT9		A0A0S2Z5A5	A0A0S2Z5A5_HUMAN	unreviewed	Septin 9 isoform 1 (Fragment)	SEPT9	Homo sapiens (Human)	568
SEPT9		A0A0S2Z5W9	A0A0S2Z5W9_HUMAN	unreviewed	Septin 9 isoform 3 (Fragment)	SEPT9	Homo sapiens (Human)	353
SEPT9		K7EIE4	K7EIE4_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	157
SEPT9		K7EIR4	K7EIR4_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	104
SEPT9		K7EJ51	K7EJ51_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	134
SEPT9		K7EJL9	K7EJL9_HUMAN	unreviewed	Septin-9	SEPT9	Homo sapiens (Human)	189
SEPT9		K7EJV0	K7EJV0_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	125
SEPT9		K7EJZ2	K7EJZ2_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	135
SEPT9		K7EK18	K7EK18_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	195
SEPT9		K7EKF9	K7EKF9_HUMAN	unreviewed	Septin-9	SEPT9	Homo sapiens (Human)	23
SEPT9		K7EKN4	K7EKN4_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	107
SEPT9		K7EL40	K7EL40_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	209
SEPT9		K7ELJ9	K7ELJ9_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	144
SEPT9		K7EMW8	K7EMW8_HUMAN	unreviewed	Septin-9	SEPT9	Homo sapiens (Human)	44
SEPT9		K7EN52	K7EN52_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	115
SEPT9		K7ENL0	K7ENL0_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	152
SEPT9		K7ENQ5	K7ENQ5_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	127
SEPT9		K7EPY1	K7EPY1_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	151
SEPT9		K7EQ08	K7EQ08_HUMAN	unreviewed	Septin-9	SEPT9	Homo sapiens (Human)	57
SEPT9		K7EQD7	K7EQD7_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	165
SEPT9		K7ER14	K7ER14_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	159
SEPT9		K7ER34	K7ER34_HUMAN	unreviewed	Septin-9	SEPT9	Homo sapiens (Human)	90
SEPT9		K7ER52	K7ER52_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	151
SEPT9		K7ERG1	K7ERG1_HUMAN	unreviewed	Septin-9 (Fragment)	SEPT9	Homo sapiens (Human)	35
SEPT9		Q1WWK5	Q1WWK5_HUMAN	unreviewed	SEPT9 protein (Fragment)	SEPT9	Homo sapiens (Human)	341
SEPT9		Q9UHD8	SEPT9_HUMAN	reviewed	Septin-9 (MLL septin-like fusion protein MSF-A) (MLL septin-like fusion protein) (Ovarian/Breast septin) (Ov/Br septin) (Septin D1)	SEPT9 KIAA0991 MSF	Homo sapiens (Human)	586
SHROOM1		A6NN40	A6NN40_HUMAN	unreviewed	Protein Shroom1	SHROOM1	Homo sapiens (Human)	783
SHROOM1		C9JXU1	C9JXU1_HUMAN	unreviewed	Protein Shroom1 (Fragment)	SHROOM1	Homo sapiens (Human)	324
SHROOM1		Q2M3G4	SHRM1_HUMAN	reviewed	Protein Shroom1 (Apical protein 2)	SHROOM1 APXL2 KIAA1960	Homo sapiens (Human)	852
SHROOM2		C9IZC6	C9IZC6_HUMAN	unreviewed	Protein Shroom2 (Fragment)	SHROOM2	Homo sapiens (Human)	375
SHROOM2		F5H3B6	F5H3B6_HUMAN	unreviewed	Protein Shroom2	SHROOM2	Homo sapiens (Human)	450
SHROOM2		Q13796	SHRM2_HUMAN	reviewed	Protein Shroom2 (Apical-like protein) (Protein APXL)	SHROOM2 APXL	Homo sapiens (Human)	1616
SMC1A		G8JLG1	G8JLG1_HUMAN	unreviewed	Structural maintenance of chromosomes protein	SMC1A	Homo sapiens (Human)	1211
SMC1A		H0Y7K8	H0Y7K8_HUMAN	unreviewed	Structural maintenance of chromosomes protein 1A (Fragment)	SMC1A	Homo sapiens (Human)	262
SMC1A		Q14683	SMC1A_HUMAN	reviewed	Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Sb1.8)	SMC1A DXS423E KIAA0178 SB1.8 SMC1 SMC1L1	Homo sapiens (Human)	1233
SMC1A		Q5H934	Q5H934_HUMAN	unreviewed	Structural maintenance of chromosomes 1A (Fragment)	SMC1A RP6-29D12.1-003	Homo sapiens (Human)	288
SMC1A		Q68EN4	Q68EN4_HUMAN	unreviewed	SMC1A protein (Fragment)	SMC1A	Homo sapiens (Human)	417
SMC1A		Q6P2R1	Q6P2R1_HUMAN	unreviewed	SMC1A protein (Fragment)	SMC1A	Homo sapiens (Human)	847
SMC1A		V9GY57	V9GY57_HUMAN	unreviewed	Structural maintenance of chromosomes protein 1A (Fragment)	SMC1A	Homo sapiens (Human)	279
SMC1A		V9GYN9	V9GYN9_HUMAN	unreviewed	Structural maintenance of chromosomes protein 1A	SMC1A	Homo sapiens (Human)	54
SMC3		Q86VX4	Q86VX4_HUMAN	unreviewed	Structural maintenance of chromosomes protein	SMC3	Homo sapiens (Human)	1217
SMC3		Q9UQE7	SMC3_HUMAN	reviewed	Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan) (Bamacan) (Chondroitin sulfate proteoglycan 6) (Chromosome-associated polypeptide) (hCAP)	SMC3 BAM BMH CSPG6 SMC3L1	Homo sapiens (Human)	1217
SMC4		C9IYK2	C9IYK2_HUMAN	unreviewed	Structural maintenance of chromosomes protein 4 (Fragment)	SMC4	Homo sapiens (Human)	173
SMC4		C9J578	C9J578_HUMAN	unreviewed	Structural maintenance of chromosomes protein 4 (Fragment)	SMC4	Homo sapiens (Human)	139
SMC4		C9J9E4	C9J9E4_HUMAN	unreviewed	Structural maintenance of chromosomes protein 4 (Fragment)	SMC4	Homo sapiens (Human)	157
SMC4		C9JJ64	C9JJ64_HUMAN	unreviewed	Structural maintenance of chromosomes protein 4 (Fragment)	SMC4	Homo sapiens (Human)	180
SMC4		C9JR83	C9JR83_HUMAN	unreviewed	Structural maintenance of chromosomes protein 4 (Fragment)	SMC4	Homo sapiens (Human)	423
SMC4		C9JVD8	C9JVD8_HUMAN	unreviewed	Structural maintenance of chromosomes protein 4 (Fragment)	SMC4	Homo sapiens (Human)	119
SMC4		C9JWF0	C9JWF0_HUMAN	unreviewed	Structural maintenance of chromosomes protein 4 (Fragment)	SMC4	Homo sapiens (Human)	170
SMC4		E9PD53	E9PD53_HUMAN	unreviewed	Structural maintenance of chromosomes protein	SMC4	Homo sapiens (Human)	1263
SMC4		F8WCB7	F8WCB7_HUMAN	unreviewed	Structural maintenance of chromosomes protein 4	SMC4	Homo sapiens (Human)	50
SMC4		Q58F29	Q58F29_HUMAN	unreviewed	SMC4 protein (Fragment)	SMC4	Homo sapiens (Human)	459
SMC4		Q6NSG3	Q6NSG3_HUMAN	unreviewed	SMC4 protein (Fragment)	SMC4	Homo sapiens (Human)	459
SMC4		Q6P169	Q6P169_HUMAN	unreviewed	SMC4 protein (Fragment)	SMC4	Homo sapiens (Human)	423
SMC4		Q9NTJ3	SMC4_HUMAN	reviewed	Structural maintenance of chromosomes protein 4 (SMC protein 4) (SMC-4) (Chromosome-associated polypeptide C) (hCAP-C) (XCAP-C homolog)	SMC4 CAPC SMC4L1	Homo sapiens (Human)	1288
SORBS2		A0A1D5RMN3	A0A1D5RMN3_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	9
SORBS2		C9IZ89	C9IZ89_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	100
SORBS2		C9IZT7	C9IZT7_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	71
SORBS2		C9J348	C9J348_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	119
SORBS2		C9J372	C9J372_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	96
SORBS2		C9J3W4	C9J3W4_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	89
SORBS2		C9J4K2	C9J4K2_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	59
SORBS2		C9J4Z9	C9J4Z9_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	107
SORBS2		C9J620	C9J620_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	109
SORBS2		C9J7Q5	C9J7Q5_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	68
SORBS2		C9J8E3	C9J8E3_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	55
SORBS2		C9J9D3	C9J9D3_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	75
SORBS2		C9JBB0	C9JBB0_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	80
SORBS2		C9JBR8	C9JBR8_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	73
SORBS2		C9JC90	C9JC90_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	121
SORBS2		C9JDX2	C9JDX2_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	116
SORBS2		C9JEA9	C9JEA9_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	100
SORBS2		C9JFS9	C9JFS9_HUMAN	unreviewed	Sorbin and SH3 domain-containing protein 2 (Fragment)	SORBS2	Homo sapiens (Human)	120
