yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC10BW	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC10BW	Entry	Entry name		Protein names	Gene names	Organism	Length
GALK2		H0YLL3	H0YLL3_HUMAN	unreviewed	N-acetylgalactosamine kinase (Fragment)	GALK2	Homo sapiens (Human)	157
GALK2		H0YLL8	H0YLL8_HUMAN	unreviewed	N-acetylgalactosamine kinase (Fragment)	GALK2	Homo sapiens (Human)	162
GALK2		H0YM44	H0YM44_HUMAN	unreviewed	N-acetylgalactosamine kinase	GALK2	Homo sapiens (Human)	49
GALK2		H0YML1	H0YML1_HUMAN	unreviewed	N-acetylgalactosamine kinase	GALK2	Homo sapiens (Human)	77
GALK2		H0YN31	H0YN31_HUMAN	unreviewed	N-acetylgalactosamine kinase	GALK2	Homo sapiens (Human)	101
GALK2		H0YN87	H0YN87_HUMAN	unreviewed	N-acetylgalactosamine kinase	GALK2	Homo sapiens (Human)	66
GALK2		H0YND3	H0YND3_HUMAN	unreviewed	N-acetylgalactosamine kinase (Fragment)	GALK2	Homo sapiens (Human)	131
GALK2		H0YNR7	H0YNR7_HUMAN	unreviewed	N-acetylgalactosamine kinase (Fragment)	GALK2	Homo sapiens (Human)	80
GALK2		Q01415	GALK2_HUMAN	reviewed	N-acetylgalactosamine kinase (EC 2.7.1.157) (GalNAc kinase) (Galactokinase 2)	GALK2 GK2	Homo sapiens (Human)	458
GAPDHS		K7EMB2	K7EMB2_HUMAN	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific	GAPDHS	Homo sapiens (Human)	44
GAPDHS		K7EP73	K7EP73_HUMAN	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (Fragment)	GAPDHS	Homo sapiens (Human)	179
GAPDHS		O14556	G3PT_HUMAN	reviewed	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2) (GAPDH-2) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase)	GAPDHS GAPD2 GAPDH2 GAPDS HSD-35 HSD35	Homo sapiens (Human)	408
GCLC		A0A0C4DGB2	A0A0C4DGB2_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit	GCLC	Homo sapiens (Human)	252
GCLC		D6R959	D6R959_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit (Fragment)	GCLC	Homo sapiens (Human)	154
GCLC		D6REX4	D6REX4_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit	GCLC	Homo sapiens (Human)	122
GCLC		D6RGF8	D6RGF8_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit	GCLC	Homo sapiens (Human)	54
GCLC		D6RIT4	D6RIT4_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit (Fragment)	GCLC	Homo sapiens (Human)	18
GCLC		E1CEI4	E1CEI4_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit (Glutamate-cysteine ligase delta4 alternative splicing variant)	GCLC	Homo sapiens (Human)	599
GCLC		H0Y9I7	H0Y9I7_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit (Fragment)	GCLC	Homo sapiens (Human)	173
GCLC		H0YAB6	H0YAB6_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit (Fragment)	GCLC	Homo sapiens (Human)	93
GCLC		P48506	GSH1_HUMAN	reviewed	Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (GCS heavy chain) (Gamma-ECS) (Gamma-glutamylcysteine synthetase)	GCLC GLCL GLCLC	Homo sapiens (Human)	637
GCLC		Q14TF0	Q14TF0_HUMAN	unreviewed	Glutamate-cysteine ligase (Glutamate-cysteine ligase, catalytic subunit, isoform CRA_a) (cDNA, FLJ94028, Homo sapiens glutamate-cysteine ligase, catalytic subunit (GCLC),mRNA)	GCLC hCG_21942	Homo sapiens (Human)	637
GFPT1		Q06210	GFPT1_HUMAN	reviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1)	GFPT1 GFAT GFPT	Homo sapiens (Human)	699
GLCE		H0YNP1	H0YNP1_HUMAN	unreviewed	D-glucuronyl C5-epimerase	GLCE	Homo sapiens (Human)	553
GLCE		O94923	GLCE_HUMAN	reviewed	D-glucuronyl C5-epimerase (EC 5.1.3.17) (Heparan sulfate C5-epimerase) (Hsepi) (Heparin/heparan sulfate:glucuronic acid C5-epimerase) (Heparosan-N-sulfate-glucuronate 5-epimerase)	GLCE KIAA0836	Homo sapiens (Human)	617
GLRX		A0A024RAM2	A0A024RAM2_HUMAN	unreviewed	Glutaredoxin (Thioltransferase), isoform CRA_c	GLRX hCG_36838	Homo sapiens (Human)	106
GLRX		P35754	GLRX1_HUMAN	reviewed	Glutaredoxin-1 (Thioltransferase-1) (TTase-1)	GLRX GRX	Homo sapiens (Human)	106
GMPPA		A0A024R482	A0A024R482_HUMAN	unreviewed	GDP-mannose pyrophosphorylase A, isoform CRA_a	GMPPA hCG_15576	Homo sapiens (Human)	420
GMPPA		A0A087WUI8	A0A087WUI8_HUMAN	unreviewed	Mannose-1-phosphate guanyltransferase alpha	GMPPA	Homo sapiens (Human)	399
GMPPA		A0A0U1RRC2	A0A0U1RRC2_HUMAN	unreviewed	Mannose-1-phosphate guanyltransferase alpha (Fragment)	GMPPA	Homo sapiens (Human)	114
GMPPA		C9J255	C9J255_HUMAN	unreviewed	Mannose-1-phosphate guanyltransferase alpha (Fragment)	GMPPA	Homo sapiens (Human)	179
GMPPA		C9JAH0	C9JAH0_HUMAN	unreviewed	Mannose-1-phosphate guanyltransferase alpha (Fragment)	GMPPA	Homo sapiens (Human)	249
GMPPA		F8WD54	F8WD54_HUMAN	unreviewed	Mannose-1-phosphate guanyltransferase alpha	GMPPA	Homo sapiens (Human)	290
GMPPA		Q96IJ6	GMPPA_HUMAN	reviewed	Mannose-1-phosphate guanyltransferase alpha (GDP-mannose pyrophosphorylase A) (GMPP-alpha) (GTP-mannose-1-phosphate guanylyltransferase alpha)	GMPPA	Homo sapiens (Human)	420
GMPPB		A0A024R2X1	A0A024R2X1_HUMAN	unreviewed	GDP-mannose pyrophosphorylase B, isoform CRA_b	GMPPB hCG_20126	Homo sapiens (Human)	360
GMPPB		A0A024R329	A0A024R329_HUMAN	unreviewed	GDP-mannose pyrophosphorylase B, isoform CRA_a	GMPPB hCG_20126	Homo sapiens (Human)	387
GMPPB		Q9Y5P6	GMPPB_HUMAN	reviewed	Mannose-1-phosphate guanyltransferase beta (EC 2.7.7.13) (GDP-mannose pyrophosphorylase B) (GTP-mannose-1-phosphate guanylyltransferase beta)	GMPPB	Homo sapiens (Human)	360
GNE		Q6QNY5	Q6QNY5_HUMAN	unreviewed	UDP-N-acetylglucosamine-2-epimerase / N-acetylmannosamine kinase	GNE	Homo sapiens (Human)	722
GNE		Q6QNY6	Q6QNY6_HUMAN	unreviewed	UDP-N-acetylglucosamine-2-epimerase / N-acetylmannosamine kinase	GNE	Homo sapiens (Human)	722
GNE		Q6QNY7	Q6QNY7_HUMAN	unreviewed	UDP-N-acetylglucosamine-2-epimerase / N-acetylmannosamine kinase	GNE	Homo sapiens (Human)	722
GNE		Q9Y223	GLCNE_HUMAN	reviewed	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)]	GNE GLCNE	Homo sapiens (Human)	722
GNPDA1		D6R917	D6R917_HUMAN	unreviewed	Glucosamine-6-phosphate isomerase 1 (Fragment)	GNPDA1	Homo sapiens (Human)	138
GNPDA1		D6R9P4	D6R9P4_HUMAN	unreviewed	Glucosamine-6-phosphate isomerase (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase)	GNPDA1	Homo sapiens (Human)	274
GNPDA1		D6RAY7	D6RAY7_HUMAN	unreviewed	Glucosamine-6-phosphate isomerase (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase) (Fragment)	GNPDA1	Homo sapiens (Human)	237
GNPDA1		D6RB13	D6RB13_HUMAN	unreviewed	Glucosamine-6-phosphate isomerase (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase) (Fragment)	GNPDA1	Homo sapiens (Human)	160
GNPDA1		D6RFF8	D6RFF8_HUMAN	unreviewed	Glucosamine-6-phosphate isomerase (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase) (Fragment)	GNPDA1	Homo sapiens (Human)	290
GNPDA1		D6RFK5	D6RFK5_HUMAN	unreviewed	Glucosamine-6-phosphate isomerase 1 (Fragment)	GNPDA1	Homo sapiens (Human)	29
GNPDA1		P46926	GNPI1_HUMAN	reviewed	Glucosamine-6-phosphate isomerase 1 (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase 1) (GNPDA 1) (GlcN6P deaminase 1) (Oscillin)	GNPDA1 GNPI HLN KIAA0060	Homo sapiens (Human)	289
GOT1		P17174	AATC_HUMAN	reviewed	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	GOT1	Homo sapiens (Human)	413
GOT2		A0A024R6W0	A0A024R6W0_HUMAN	unreviewed	Aspartate aminotransferase (EC 2.6.1.1)	GOT2 hCG_15092	Homo sapiens (Human)	430
GOT2		H3BRE7	H3BRE7_HUMAN	unreviewed	Aspartate aminotransferase, mitochondrial	GOT2	Homo sapiens (Human)	59
GOT2		P00505	AATM_HUMAN	reviewed	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	GOT2	Homo sapiens (Human)	430
GPC1		A0A024R4D5	A0A024R4D5_HUMAN	unreviewed	Glypican 1, isoform CRA_c	GPC1 hCG_20534	Homo sapiens (Human)	486
GPC1		C9J4Y6	C9J4Y6_HUMAN	unreviewed	Glypican-1 (Fragment)	GPC1	Homo sapiens (Human)	156
GPC1		H7BZE9	H7BZE9_HUMAN	unreviewed	Glypican-1 (Fragment)	GPC1	Homo sapiens (Human)	162
GPC1		H7BZL4	H7BZL4_HUMAN	unreviewed	Glypican-1 (Fragment)	GPC1	Homo sapiens (Human)	281
GPC1		H7C024	H7C024_HUMAN	unreviewed	Glypican-1 (Fragment)	GPC1	Homo sapiens (Human)	294
GPC1		H7C410	H7C410_HUMAN	unreviewed	Glypican-1	GPC1	Homo sapiens (Human)	486
GPC1		P35052	GPC1_HUMAN	reviewed	Glypican-1 [Cleaved into: Secreted glypican-1]	GPC1	Homo sapiens (Human)	558
GPC3		H0Y3U6	H0Y3U6_HUMAN	unreviewed	Glypican-3 (Fragment)	GPC3	Homo sapiens (Human)	256
GPC3		I6QTG3	I6QTG3_HUMAN	unreviewed	Glypican 3 isoform 2 (Glypican 3, isoform CRA_b)	GPC3 hCG_14619	Homo sapiens (Human)	580
GPC3		P51654	GPC3_HUMAN	reviewed	Glypican-3 (GTR2-2) (Intestinal protein OCI-5) (MXR7) [Cleaved into: Secreted glypican-3]	GPC3 OCI5	Homo sapiens (Human)	580
GPC3		Q53H15	Q53H15_HUMAN	unreviewed	Glypican 3 variant (Glypican-3 splice variant A) (Fragment)	GPC3	Homo sapiens (Human)	580
GPC3		Q8IYG2	Q8IYG2_HUMAN	unreviewed	Glypican 3	GPC3	Homo sapiens (Human)	580
GPC4		O75487	GPC4_HUMAN	reviewed	Glypican-4 (K-glypican) [Cleaved into: Secreted glypican-4]	GPC4 UNQ474/PRO937	Homo sapiens (Human)	556
GPC4		Q86SV6	Q86SV6_HUMAN	unreviewed	K-glypican	GPC4	Homo sapiens (Human)	552
GPR87		Q9BY21	GPR87_HUMAN	reviewed	G-protein coupled receptor 87 (G-protein coupled receptor 95)	GPR87 GPR95 FKSG78	Homo sapiens (Human)	358
GUSB		F2Z3L6	F2Z3L6_HUMAN	unreviewed	Beta-glucuronidase	GUSB	Homo sapiens (Human)	144
GUSB		F8WBK6	F8WBK6_HUMAN	unreviewed	Beta-glucuronidase	GUSB	Homo sapiens (Human)	134
GUSB		P08236	BGLR_HUMAN	reviewed	Beta-glucuronidase (EC 3.2.1.31) (Beta-G1)	GUSB	Homo sapiens (Human)	651
GYS1		M0QYU1	M0QYU1_HUMAN	unreviewed	Glycogen [starch] synthase (EC 2.4.1.11) (Fragment)	GYS1	Homo sapiens (Human)	113
GYS1		P13807	GYS1_HUMAN	reviewed	Glycogen [starch] synthase, muscle (EC 2.4.1.11)	GYS1 GYS	Homo sapiens (Human)	737
GYS2		A0A024RAU5	A0A024RAU5_HUMAN	unreviewed	Glycogen [starch] synthase (EC 2.4.1.11)	GYS2 hCG_25055	Homo sapiens (Human)	703
GYS2		P54840	GYS2_HUMAN	reviewed	Glycogen [starch] synthase, liver (EC 2.4.1.11)	GYS2	Homo sapiens (Human)	703
HAX1		A0A0S2Z519	A0A0S2Z519_HUMAN	unreviewed	HCLS1 associated protein X-1 isoform 5	HAX1	Homo sapiens (Human)	62
HAX1		A0A0S2Z565	A0A0S2Z565_HUMAN	unreviewed	HCLS1 associated protein X-1 isoform 3 (Fragment)	HAX1	Homo sapiens (Human)	231
HAX1		A0A0S2Z591	A0A0S2Z591_HUMAN	unreviewed	HCLS1 associated protein X-1 isoform 1 (Fragment)	HAX1	Homo sapiens (Human)	279
HAX1		E9PIQ7	E9PIQ7_HUMAN	unreviewed	HCLS1-associated protein X-1	HAX1	Homo sapiens (Human)	151
HAX1		O00165	HAX1_HUMAN	reviewed	HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1)	HAX1 HS1BP1	Homo sapiens (Human)	279
HAX1		Q5VYD6	Q5VYD6_HUMAN	unreviewed	HCLS1-associated protein X-1 (Fragment)	HAX1	Homo sapiens (Human)	255
HDLBP		A0A024R4E5	A0A024R4E5_HUMAN	unreviewed	High density lipoprotein binding protein (Vigilin), isoform CRA_a (Vigilin)	HDLBP hCG_33048	Homo sapiens (Human)	1268
HDLBP		C9J5E5	C9J5E5_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	221
HDLBP		C9J739	C9J739_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	19
HDLBP		C9JB08	C9JB08_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	14
HDLBP		C9JBS3	C9JBS3_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	69
HDLBP		C9JE93	C9JE93_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	36
HDLBP		C9JEJ8	C9JEJ8_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	79
HDLBP		C9JES8	C9JES8_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	147
HDLBP		C9JHN6	C9JHN6_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	81
HDLBP		C9JHS7	C9JHS7_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	126
HDLBP		C9JHS9	C9JHS9_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	17
HDLBP		C9JHZ8	C9JHZ8_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	141
HDLBP		C9JIZ1	C9JIZ1_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	224
HDLBP		C9JK79	C9JK79_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	128
HDLBP		C9JMQ6	C9JMQ6_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	46
HDLBP		C9JQ82	C9JQ82_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	53
HDLBP		C9JT62	C9JT62_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	96
HDLBP		C9JZI8	C9JZI8_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	164
HDLBP		H0Y394	H0Y394_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	973
HDLBP		H7BZC3	H7BZC3_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	267
HDLBP		H7C0A4	H7C0A4_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	332
HDLBP		H7C2D1	H7C2D1_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	308
HDLBP		H7C3D0	H7C3D0_HUMAN	unreviewed	Vigilin (Fragment)	HDLBP	Homo sapiens (Human)	126
HDLBP		L8ECQ0	L8ECQ0_HUMAN	unreviewed	Alternative protein HDLBP	HDLBP	Homo sapiens (Human)	50
HDLBP		Q00341	VIGLN_HUMAN	reviewed	Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	HDLBP HBP VGL	Homo sapiens (Human)	1268
HDLBP		Q2HJC8	Q2HJC8_HUMAN	unreviewed	HDLBP protein (Fragment)	HDLBP	Homo sapiens (Human)	589
HDLBP		Q96CF6	Q96CF6_HUMAN	unreviewed	HDLBP protein (Fragment)	HDLBP	Homo sapiens (Human)	898
HK2		E9PB90	E9PB90_HUMAN	unreviewed	Hexokinase-2	HK2	Homo sapiens (Human)	889
HK2		P52789	HXK2_HUMAN	reviewed	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Muscle form hexokinase)	HK2	Homo sapiens (Human)	917
HK2		Q53QX9	Q53QX9_HUMAN	unreviewed	Phosphotransferase (EC 2.7.1.-) (Fragment)	HK2	Homo sapiens (Human)	573
HK2		Q53SG7	Q53SG7_HUMAN	unreviewed	Phosphotransferase (EC 2.7.1.-) (Fragment)	HK2	Homo sapiens (Human)	344
HMMR		B9UCQ3	B9UCQ3_HUMAN	unreviewed	Hyaluronan-mediated motility receptor (Fragment)	HMMR	Homo sapiens (Human)	22
HMMR		E5RI30	E5RI30_HUMAN	unreviewed	Hyaluronan mediated motility receptor (Fragment)	HMMR	Homo sapiens (Human)	101
HMMR		E5RIH2	E5RIH2_HUMAN	unreviewed	Hyaluronan mediated motility receptor (Fragment)	HMMR	Homo sapiens (Human)	92
HMMR		O75330	HMMR_HUMAN	reviewed	Hyaluronan mediated motility receptor (Intracellular hyaluronic acid-binding protein) (Receptor for hyaluronan-mediated motility) (CD antigen CD168)	HMMR IHABP RHAMM	Homo sapiens (Human)	724
HMMR		Q05D84	Q05D84_HUMAN	unreviewed	HMMR protein (Fragment)	HMMR	Homo sapiens (Human)	331
HMMR		Q05DM0	Q05DM0_HUMAN	unreviewed	HMMR protein (Fragment)	HMMR	Homo sapiens (Human)	512
HMMR		Q6NSC0	Q6NSC0_HUMAN	unreviewed	HMMR protein (Fragment)	HMMR	Homo sapiens (Human)	552
HMMR		Q6PG44	Q6PG44_HUMAN	unreviewed	HMMR protein (Fragment)	HMMR	Homo sapiens (Human)	613
HMMR		Q6PIR6	Q6PIR6_HUMAN	unreviewed	HMMR protein (Fragment)	HMMR	Homo sapiens (Human)	302
HOMER1		Q5U5K4	Q5U5K4_HUMAN	unreviewed	Homer homolog 1 (Drosophila)	HOMER1	Homo sapiens (Human)	354
HOMER1		Q86YM6	Q86YM6_HUMAN	unreviewed	HOMER1F (Homer protein homolog 1)	HOMER1	Homo sapiens (Human)	180
HOMER1		Q86YM7	HOME1_HUMAN	reviewed	Homer protein homolog 1 (Homer-1)	HOMER1 SYN47	Homo sapiens (Human)	354
HS2ST1		K7EP71	K7EP71_HUMAN	unreviewed	Heparan sulfate 2-O-sulfotransferase 1 (Fragment)	HS2ST1	Homo sapiens (Human)	111
HS2ST1		Q7LGA3	HS2ST_HUMAN	reviewed	Heparan sulfate 2-O-sulfotransferase 1 (2-O-sulfotransferase) (2OST) (EC 2.8.2.-)	HS2ST1 HS2ST KIAA0448	Homo sapiens (Human)	356
HS6ST2		Q96MM7	H6ST2_HUMAN	reviewed	Heparan-sulfate 6-O-sulfotransferase 2 (HS6ST-2) (EC 2.8.2.-)	HS6ST2 PSEC0092	Homo sapiens (Human)	605
HSPA5		P11021	GRP78_HUMAN	reviewed	78 kDa glucose-regulated protein (GRP-78) (Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP)	HSPA5 GRP78	Homo sapiens (Human)	654
IDH1		C9J4N6	C9J4N6_HUMAN	unreviewed	Isocitrate dehydrogenase [NADP] cytoplasmic (Fragment)	IDH1	Homo sapiens (Human)	157
IDH1		C9JJE5	C9JJE5_HUMAN	unreviewed	Isocitrate dehydrogenase [NADP] cytoplasmic (Fragment)	IDH1	Homo sapiens (Human)	62
IDH1		C9JLU6	C9JLU6_HUMAN	unreviewed	Isocitrate dehydrogenase [NADP] cytoplasmic (Fragment)	IDH1	Homo sapiens (Human)	73
IDH1		O75874	IDHC_HUMAN	reviewed	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
IDH1		Q0QER2	Q0QER2_HUMAN	unreviewed	Isocitrate dehydrogenase 1 (Fragment)	IDH1	Homo sapiens (Human)	371
IDH1		Q6FI37	Q6FI37_HUMAN	unreviewed	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	IDH1	Homo sapiens (Human)	414
IDH1		Q6FIA4	Q6FIA4_HUMAN	unreviewed	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	IDH1	Homo sapiens (Human)	414
IDH1		Q9H302	Q9H302_HUMAN	unreviewed	NADP+-specific isocitrate dehydrogenase (Fragment)	IDH1	Homo sapiens (Human)	127
IDH1		V9HWJ2	V9HWJ2_HUMAN	unreviewed	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	HEL-S-26 IDH1 hCG_15937	Homo sapiens (Human)	414
IDUA		D3DVN7	D3DVN7_HUMAN	unreviewed	Iduronidase, alpha-L-, isoform CRA_d	IDUA hCG_34451	Homo sapiens (Human)	523
IDUA		D3DVN8	D3DVN8_HUMAN	unreviewed	Iduronidase, alpha-L-, isoform CRA_a	IDUA hCG_34451	Homo sapiens (Human)	316
IDUA		D6R9D5	D6R9D5_HUMAN	unreviewed	Alpha-L-iduronidase (Fragment)	IDUA	Homo sapiens (Human)	224
IDUA		D6RBD5	D6RBD5_HUMAN	unreviewed	Alpha-L-iduronidase (Fragment)	IDUA	Homo sapiens (Human)	176
IDUA		D6REB5	D6REB5_HUMAN	unreviewed	Alpha-L-iduronidase	IDUA	Homo sapiens (Human)	521
IDUA		H0Y9B3	H0Y9B3_HUMAN	unreviewed	Alpha-L-iduronidase (Fragment)	IDUA	Homo sapiens (Human)	232
IDUA		H0Y9R9	H0Y9R9_HUMAN	unreviewed	Alpha-L-iduronidase (Fragment)	IDUA	Homo sapiens (Human)	195
IDUA		J9QQV7	J9QQV7_HUMAN	unreviewed	Alpha-L-iduronidase (EC 3.2.1.76) (Fragment)	IDUA	Homo sapiens (Human)	64
IDUA		P35475	IDUA_HUMAN	reviewed	Alpha-L-iduronidase (EC 3.2.1.76)	IDUA	Homo sapiens (Human)	653
IDUA		Q56A80	Q56A80_HUMAN	unreviewed	IDUA protein (Fragment)	IDUA	Homo sapiens (Human)	523
IER3		P46695	IEX1_HUMAN	reviewed	Radiation-inducible immediate-early gene IEX-1 (Differentiation-dependent gene 2 protein) (Protein DIF-2) (Immediate early protein GLY96) (Immediate early response 3 protein) (PACAP-responsive gene 1 protein) (Protein PRG1)	IER3 DIF2 IEX1 PRG1	Homo sapiens (Human)	156
IER3		Q5ST77	Q5ST77_HUMAN	unreviewed	Immediate early response 3 (Immediate early response 3, isoform CRA_a) (Radiation-inducible immediate early response gene IEX1) (cDNA, FLJ94872, Homo sapiens immediate early response 3 (IER3), transcript variantshort, mRNA)	PRG1 IER3 IEX1 hCG_26002	Homo sapiens (Human)	156
IER3		Q5ST79	Q5ST79_HUMAN	unreviewed	Immediate early response 3, isoform CRA_b (Radiation-inducible immediate-early gene IEX-1)	IER3 hCG_26002	Homo sapiens (Human)	138
IGFBP3		A6XND0	A6XND0_HUMAN	unreviewed	Insulin-like growth factor binding protein 3 (Insulin-like growth factor-binding protein 3)	IGFBP3	Homo sapiens (Human)	270
IGFBP3		A6XND1	A6XND1_HUMAN	unreviewed	Insulin-like growth factor binding protein 3 isoform b (Insulin-like growth factor-binding protein 3)	IGFBP3	Homo sapiens (Human)	263
IGFBP3		B3KWK7	B3KWK7_HUMAN	unreviewed	Insulin-like growth factor binding protein 3, isoform CRA_b (Insulin-like growth factor-binding protein 3) (cDNA FLJ43234 fis, clone HCHON2002964, highly similar to Insulin-like growth factor-binding protein 3)	IGFBP3 hCG_1735376	Homo sapiens (Human)	194
IGFBP3		C9JMX4	C9JMX4_HUMAN	unreviewed	Insulin-like growth factor-binding protein 3 (Fragment)	IGFBP3	Homo sapiens (Human)	132
IGFBP3		H0Y485	H0Y485_HUMAN	unreviewed	Insulin-like growth factor-binding protein 3 (Fragment)	IGFBP3	Homo sapiens (Human)	143
IGFBP3		H0Y5K2	H0Y5K2_HUMAN	unreviewed	Insulin-like growth factor-binding protein 3 (Fragment)	IGFBP3	Homo sapiens (Human)	153
IGFBP3		P17936	IBP3_HUMAN	reviewed	Insulin-like growth factor-binding protein 3 (IBP-3) (IGF-binding protein 3) (IGFBP-3)	IGFBP3 IBP3	Homo sapiens (Human)	291
IL13RA1		P78552	I13R1_HUMAN	reviewed	Interleukin-13 receptor subunit alpha-1 (IL-13 receptor subunit alpha-1) (IL-13R subunit alpha-1) (IL-13R-alpha-1) (IL-13RA1) (Cancer/testis antigen 19) (CT19) (CD antigen CD213a1)	IL13RA1 IL13R IL13RA	Homo sapiens (Human)	427
IL13RA1		Q96BB4	Q96BB4_HUMAN	unreviewed	Interleukin 13 receptor, alpha 1	IL13RA1	Homo sapiens (Human)	427
IRS2		L0R5B5	L0R5B5_HUMAN	unreviewed	Alternative protein IRS2	IRS2	Homo sapiens (Human)	99
IRS2		L8ECA6	L8ECA6_HUMAN	unreviewed	Alternative protein IRS2	IRS2	Homo sapiens (Human)	71
IRS2		Q96RG4	Q96RG4_HUMAN	unreviewed	Insulin receptor substrate 2 insertion mutant (Fragment)	IRS2	Homo sapiens (Human)	1338
IRS2		Q96RG5	Q96RG5_HUMAN	unreviewed	Insulin receptor substrate 2 insertion mutant (Fragment)	IRS2	Homo sapiens (Human)	1339
IRS2		Q9UP29	Q9UP29_HUMAN	unreviewed	Insulin receptor substrate-2 (Fragment)	IRS2	Homo sapiens (Human)	57
