yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC14D9	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC14D9	Entry	Entry name		Protein names	Gene names	Organism	Length
TGFB1		Q49IL8	Q49IL8_HUMAN	unreviewed	Transforming growth factor beta 1 (Fragment)	TGFB1	Homo sapiens (Human)	118
TGFB1		Q7Z487	Q7Z487_HUMAN	unreviewed	Transforming growth factor beta 1 (Fragment)	TGFB1	Homo sapiens (Human)	51
TGFB1		Q7Z488	Q7Z488_HUMAN	unreviewed	Transforming growth factor beta 1 (Fragment)	TGFB1	Homo sapiens (Human)	118
TGFB1		Q86YU2	Q86YU2_HUMAN	unreviewed	Transforming growth factor beta 1 (Fragment)	TGFB1	Homo sapiens (Human)	59
TLR2		A0A0S2Z4L7	A0A0S2Z4L7_HUMAN	unreviewed	Toll-like receptor 2 isoform 2 (Fragment)	TLR2	Homo sapiens (Human)	210
TLR2		A0A0S2Z4S4	A0A0S2Z4S4_HUMAN	unreviewed	Toll-like receptor 2 isoform 1 (Fragment)	TLR2	Homo sapiens (Human)	784
TLR2		C6KIA6	C6KIA6_HUMAN	unreviewed	Toll-like receptor 2 (Fragment)	TLR2	Homo sapiens (Human)	123
TLR2		C6KIA9	C6KIA9_HUMAN	unreviewed	Toll-like receptor 2 (Fragment)	TLR2	Homo sapiens (Human)	123
TLR2		D2JYJ0	D2JYJ0_HUMAN	unreviewed	Toll-like receptor 2 (Fragment)	TLR2	Homo sapiens (Human)	103
TLR2		D2JYJ1	D2JYJ1_HUMAN	unreviewed	Toll-like receptor 2 (Fragment)	TLR2	Homo sapiens (Human)	99
TLR2		D2JYJ2	D2JYJ2_HUMAN	unreviewed	Toll-like receptor 2 (Fragment)	TLR2	Homo sapiens (Human)	104
TLR2		D2JYJ3	D2JYJ3_HUMAN	unreviewed	Toll-like receptor 2 (Fragment)	TLR2	Homo sapiens (Human)	104
TLR2		D2JYJ4	D2JYJ4_HUMAN	unreviewed	Toll-like receptor 2 (Fragment)	TLR2	Homo sapiens (Human)	104
TLR2		O60603	TLR2_HUMAN	reviewed	Toll-like receptor 2 (Toll/interleukin-1 receptor-like protein 4) (CD antigen CD282)	TLR2 TIL4	Homo sapiens (Human)	784
TNF		A0A0G2YPN5	A0A0G2YPN5_HUMAN	unreviewed	Tumor necrosis factor (Fragment)	TNF	Homo sapiens (Human)	62
TNF		A0A140T922	A0A140T922_HUMAN	unreviewed	Tumor necrosis factor (Fragment)	TNF	Homo sapiens (Human)	171
TNF		B5BUQ6	B5BUQ6_HUMAN	unreviewed	Tumor necrosis factor alpha (Fragment)	TNF	Homo sapiens (Human)	157
TNF		C1K3N5	C1K3N5_HUMAN	unreviewed	Tumor necrosis factor alpha (Fragment)	TNF	Homo sapiens (Human)	232
TNF		P01375	TNFA_HUMAN	reviewed	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	TNF TNFA TNFSF2	Homo sapiens (Human)	233
TNF		Q5STB3	Q5STB3_HUMAN	unreviewed	TNFA protein (Tumor necrosis factor) (Tumor necrosis factor (TNF superfamily, member 2)) (Tumor necrosis factor ligand 1F) (Tumor necrosis factor-alpha) (cDNA, FLJ95875, Homo sapiens tumor necrosis factor (TNF superfamily, member 2)(TNF), mRNA)	TNF TNFA TNLG1F hCG_43716	Homo sapiens (Human)	233
TNFRSF12A		I3L0S4	I3L0S4_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 12A	TNFRSF12A	Homo sapiens (Human)	94
TNFRSF12A		I3L1J9	I3L1J9_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 12A	TNFRSF12A	Homo sapiens (Human)	80
TNFRSF12A		I3L3P4	I3L3P4_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 12A	TNFRSF12A	Homo sapiens (Human)	226
TNFRSF12A		I3L539	I3L539_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 12A (Fragment)	TNFRSF12A	Homo sapiens (Human)	47
TNFRSF12A		Q9NP84	TNR12_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 12A (Fibroblast growth factor-inducible immediate-early response protein 14) (FGF-inducible 14) (Tweak-receptor) (TweakR) (CD antigen CD266)	TNFRSF12A FN14	Homo sapiens (Human)	129
TNFRSF1A		F5GWJ4	F5GWJ4_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 1A	TNFRSF1A	Homo sapiens (Human)	122
TNFRSF1A		F5H061	F5H061_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 1A	TNFRSF1A	Homo sapiens (Human)	412
TNFRSF1A		F5H4T5	F5H4T5_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 1A	TNFRSF1A	Homo sapiens (Human)	71
TNFRSF1A		F5H6V7	F5H6V7_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 1A (Fragment)	TNFRSF1A	Homo sapiens (Human)	254
TNFRSF1A		F5H6Z2	F5H6Z2_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 1A (Fragment)	TNFRSF1A	Homo sapiens (Human)	118
TNFRSF1A		F5H7N1	F5H7N1_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 1A	TNFRSF1A	Homo sapiens (Human)	72
TNFRSF1A		F5H8A6	F5H8A6_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 1A (Fragment)	TNFRSF1A	Homo sapiens (Human)	298
TNFRSF1A		J9PH39	J9PH39_HUMAN	unreviewed	TNFR1-d2	TNFRSF1A	Homo sapiens (Human)	347
TNFRSF1A		P19438	TNR1A_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein 1 (TBPI)]	TNFRSF1A TNFAR TNFR1	Homo sapiens (Human)	455
TNFRSF1A		Q6Y4Q7	Q6Y4Q7_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 1A (Fragment)	TNFRSF1A	Homo sapiens (Human)	42
TNFRSF1B		A0A0K1RN68	A0A0K1RN68_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily, member 1b (EC 3.4.24.86) (Fragment)	TNFRSF1B	Homo sapiens (Human)	49
TNFRSF1B		B5A977	B5A977_HUMAN	unreviewed	Soluble TNFR1B variant 1 (Tumor necrosis factor receptor superfamily member 1B)	TNFR1B TNFRSF1B	Homo sapiens (Human)	155
TNFRSF1B		P20333	TNR1B_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 1B (Tumor necrosis factor receptor 2) (TNF-R2) (Tumor necrosis factor receptor type II) (TNF-RII) (TNFR-II) (p75) (p80 TNF-alpha receptor) (CD antigen CD120b) (Etanercept) [Cleaved into: Tumor necrosis factor receptor superfamily member 1b, membrane form; Tumor necrosis factor-binding protein 2 (TBP-2) (TBPII)]	TNFRSF1B TNFBR TNFR2	Homo sapiens (Human)	461
TNFRSF1B		Q8IVS6	Q8IVS6_HUMAN	unreviewed	Similar to tumor necrosis factor receptor superfamily, member 1B (TNFRSF1B protein) (Fragment)	TNFRSF1B	Homo sapiens (Human)	457
TNFRSF21		A0A024RD40	A0A024RD40_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily, member 21, isoform CRA_a	TNFRSF21 hCG_2000710	Homo sapiens (Human)	632
TNFRSF21		A0A024RD71	A0A024RD71_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily, member 21, isoform CRA_b	TNFRSF21 hCG_2000710	Homo sapiens (Human)	655
TNFRSF21		L8E6S5	L8E6S5_HUMAN	unreviewed	Alternative protein TNFRSF21	TNFRSF21	Homo sapiens (Human)	60
TNFRSF21		O75509	TNR21_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 21 (Death receptor 6) (CD antigen CD358)	TNFRSF21 DR6 UNQ437/PRO868	Homo sapiens (Human)	655
TNFRSF21		Q9NZD9	Q9NZD9_HUMAN	unreviewed	BM-018 (TNFRSF21 protein)	TNFRSF21	Homo sapiens (Human)	124
TYK2		A0A024R7E4	A0A024R7E4_HUMAN	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)	TYK2 hCG_28495	Homo sapiens (Human)	1187
TYK2		E9PM19	E9PM19_HUMAN	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)	TYK2	Homo sapiens (Human)	1002
TYK2		E9PPF2	E9PPF2_HUMAN	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)	TYK2	Homo sapiens (Human)	921
TYK2		E9PQE9	E9PQE9_HUMAN	unreviewed	Non-receptor tyrosine-protein kinase TYK2 (Fragment)	TYK2	Homo sapiens (Human)	134
TYK2		E9PQL2	E9PQL2_HUMAN	unreviewed	Non-receptor tyrosine-protein kinase TYK2 (Fragment)	TYK2	Homo sapiens (Human)	118
TYK2		H0YCT7	H0YCT7_HUMAN	unreviewed	Non-receptor tyrosine-protein kinase TYK2 (Fragment)	TYK2	Homo sapiens (Human)	82
TYK2		H0YE24	H0YE24_HUMAN	unreviewed	Non-receptor tyrosine-protein kinase TYK2 (Fragment)	TYK2	Homo sapiens (Human)	64
TYK2		H0YE41	H0YE41_HUMAN	unreviewed	Non-receptor tyrosine-protein kinase TYK2 (Fragment)	TYK2	Homo sapiens (Human)	194
TYK2		K7EJR6	K7EJR6_HUMAN	unreviewed	Non-receptor tyrosine-protein kinase TYK2 (Fragment)	TYK2	Homo sapiens (Human)	142
TYK2		K7EM33	K7EM33_HUMAN	unreviewed	Non-receptor tyrosine-protein kinase TYK2 (Fragment)	TYK2	Homo sapiens (Human)	135
TYK2		P29597	TYK2_HUMAN	reviewed	Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)	TYK2	Homo sapiens (Human)	1187
