yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC128G	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC128G	Entry	Entry name		Protein names	Gene names	Organism	Length
SEC31A		A0A024A2P5	A0A024A2P5_HUMAN	unreviewed	SEC31A/ALK fusion protein (Fragment)	ALK fusion SEC31A	Homo sapiens (Human)	66
SEC31A		D6RAB3	D6RAB3_HUMAN	unreviewed	Protein transport protein Sec31A	SEC31A	Homo sapiens (Human)	68
SEC31A		D6RBT0	D6RBT0_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	81
SEC31A		D6RCQ9	D6RCQ9_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	166
SEC31A		D6RE64	D6RE64_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	164
SEC31A		D6REA9	D6REA9_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	66
SEC31A		D6REC0	D6REC0_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	26
SEC31A		D6REX3	D6REX3_HUMAN	unreviewed	Protein transport protein Sec31A	SEC31A	Homo sapiens (Human)	1251
SEC31A		D6RHE8	D6RHE8_HUMAN	unreviewed	Protein transport protein Sec31A	SEC31A	Homo sapiens (Human)	92
SEC31A		D6RHZ5	D6RHZ5_HUMAN	unreviewed	Protein transport protein Sec31A	SEC31A	Homo sapiens (Human)	877
SEC31A		H0Y8V7	H0Y8V7_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	285
SEC31A		H0Y8W8	H0Y8W8_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	383
SEC31A		H0Y9K1	H0Y9K1_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	237
SEC31A		H0Y9T9	H0Y9T9_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	235
SEC31A		H0Y9V3	H0Y9V3_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	219
SEC31A		H0YAB3	H0YAB3_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	443
SEC31A		H0YAF5	H0YAF5_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	181
SEC31A		H7BXG7	H7BXG7_HUMAN	unreviewed	Protein transport protein Sec31A	SEC31A	Homo sapiens (Human)	969
SEC31A		O94979	SC31A_HUMAN	reviewed	Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein)	SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334	Homo sapiens (Human)	1220
SEC31A		U3KQC9	U3KQC9_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	65
SEC31A		U3KQR3	U3KQR3_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	11
SGMS1		C0MHM2	C0MHM2_HUMAN	unreviewed	Phosphatidylcholine:ceramide cholinephosphotransferase 1 (Sphingomyelin synthase 1)	SGMS1	Homo sapiens (Human)	241
SGMS1		D3DWC4	D3DWC4_HUMAN	unreviewed	Phosphatidylcholine:ceramide cholinephosphotransferase 1 (Transmembrane protein 23, isoform CRA_a)	TMEM23 SGMS1 hCG_32359	Homo sapiens (Human)	413
SGMS1		E6ZCI6	E6ZCI6_HUMAN	unreviewed	Phosphatidylcholine:ceramide cholinephosphotransferase 1 (Sphingomyelin synthase 1)	SGMS1	Homo sapiens (Human)	219
SGMS1		E6ZCI7	E6ZCI7_HUMAN	unreviewed	Sphingomyelin synthase 1 (Fragment)	SGMS1	Homo sapiens (Human)	222
SGMS1		Q86VZ5	SMS1_HUMAN	reviewed	Phosphatidylcholine:ceramide cholinephosphotransferase 1 (EC 2.7.8.27) (Medulla oblongata-derived protein) (Protein Mob) (Sphingomyelin synthase 1) (Transmembrane protein 23)	SGMS1 MOB SMS1 TMEM23	Homo sapiens (Human)	419
SGMS1		R4GNI5	R4GNI5_HUMAN	unreviewed	Phosphatidylcholine:ceramide cholinephosphotransferase 1 (Fragment)	SGMS1	Homo sapiens (Human)	35
SGMS1		U3KQ11	U3KQ11_HUMAN	unreviewed	Phosphatidylcholine:ceramide cholinephosphotransferase 1 (Fragment)	SGMS1	Homo sapiens (Human)	12
SH3GL2		A7LBA6	A7LBA6_HUMAN	unreviewed	Endophilin (Fragment)	SH3GL2	Homo sapiens (Human)	65
SH3GL2		D3DRJ2	D3DRJ2_HUMAN	unreviewed	SH3-domain GRB2-like 2, isoform CRA_b	SH3GL2 hCG_28367	Homo sapiens (Human)	317
SH3GL2		Q3V638	Q3V638_HUMAN	unreviewed	Mutated endophilin A1 BAR domain	SH3GL2	Homo sapiens (Human)	225
SH3GL2		Q3V639	Q3V639_HUMAN	unreviewed	Endophilin A1 BAR domain	SH3GL2	Homo sapiens (Human)	247
SH3GL2		Q8IZ09	Q8IZ09_HUMAN	unreviewed	SH3GL2 protein	SH3GL2	Homo sapiens (Human)	279
SH3GL2		Q99962	SH3G2_HUMAN	reviewed	Endophilin-A1 (EEN-B1) (Endophilin-1) (SH3 domain protein 2A) (SH3 domain-containing GRB2-like protein 2)	SH3GL2 CNSA2 SH3D2A	Homo sapiens (Human)	352
SNAP23		A0A024R9R8	A0A024R9R8_HUMAN	unreviewed	Synaptosomal-associated protein, 23kDa, isoform CRA_b	SNAP23 hCG_40424	Homo sapiens (Human)	158
SNAP23		A8K287	A8K287_HUMAN	unreviewed	Synaptosomal-associated protein	SNAP23 hCG_40424	Homo sapiens (Human)	211
SNAP23		H3BM38	H3BM38_HUMAN	unreviewed	Synaptosomal-associated protein (Fragment)	SNAP23	Homo sapiens (Human)	125
SNAP23		H3BNE1	H3BNE1_HUMAN	unreviewed	Synaptosomal-associated protein 23	SNAP23	Homo sapiens (Human)	97
SNAP23		H3BNG6	H3BNG6_HUMAN	unreviewed	Synaptosomal-associated protein 23	SNAP23	Homo sapiens (Human)	44
SNAP23		H3BP15	H3BP15_HUMAN	unreviewed	Synaptosomal-associated protein (Fragment)	SNAP23	Homo sapiens (Human)	149
SNAP23		H3BPJ0	H3BPJ0_HUMAN	unreviewed	Synaptosomal-associated protein 23	SNAP23	Homo sapiens (Human)	127
SNAP23		H3BQY9	H3BQY9_HUMAN	unreviewed	Synaptosomal-associated protein (Fragment)	SNAP23	Homo sapiens (Human)	154
SNAP23		H3BR18	H3BR18_HUMAN	unreviewed	Synaptosomal-associated protein (Fragment)	SNAP23	Homo sapiens (Human)	109
SNAP23		H3BR99	H3BR99_HUMAN	unreviewed	Synaptosomal-associated protein 23 (Fragment)	SNAP23	Homo sapiens (Human)	90
SNAP23		H3BU94	H3BU94_HUMAN	unreviewed	Synaptosomal-associated protein 23	SNAP23	Homo sapiens (Human)	53
SNAP23		H3BV99	H3BV99_HUMAN	unreviewed	Synaptosomal-associated protein (Fragment)	SNAP23	Homo sapiens (Human)	142
SNAP23		O00161	SNP23_HUMAN	reviewed	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	SNAP23	Homo sapiens (Human)	211
SNX2		D6RBT1	D6RBT1_HUMAN	unreviewed	Sorting nexin-2	SNX2	Homo sapiens (Human)	76
SNX2		D6RC15	D6RC15_HUMAN	unreviewed	Sorting nexin-2 (Fragment)	SNX2	Homo sapiens (Human)	265
SNX2		O60749	SNX2_HUMAN	reviewed	Sorting nexin-2 (Transformation-related gene 9 protein) (TRG-9)	SNX2 TRG9	Homo sapiens (Human)	519
SOD1		A1YYW4	A1YYW4_HUMAN	unreviewed	Superoxide dismutase 1 (Fragment)	SOD1	Homo sapiens (Human)	36
SOD1		H7BYH4	H7BYH4_HUMAN	unreviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	SOD1	Homo sapiens (Human)	135
SOD1		L8E9E6	L8E9E6_HUMAN	unreviewed	Alternative protein SOD1	SOD1	Homo sapiens (Human)	44
SOD1		P00441	SODC_HUMAN	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1) (hSod1)	SOD1	Homo sapiens (Human)	154
SOD1		X5CHU1	X5CHU1_HUMAN	unreviewed	Superoxide dismutase (EC 1.15.1.1) (Fragment)	SOD1	Homo sapiens (Human)	35
SOD1		X5CN18	X5CN18_HUMAN	unreviewed	Superoxide dismutase (EC 1.15.1.1) (Fragment)	SOD1	Homo sapiens (Human)	35
SOD1		X5CQ60	X5CQ60_HUMAN	unreviewed	Truncated superoxide dismutase (EC 1.15.1.1) (Fragment)	SOD1	Homo sapiens (Human)	10
SOD1		X5D3F9	X5D3F9_HUMAN	unreviewed	Truncated superoxide dismutase (EC 1.15.1.1) (Fragment)	SOD1	Homo sapiens (Human)	8
SOD1		X5D3G4	X5D3G4_HUMAN	unreviewed	Superoxide dismutase (EC 1.15.1.1) (Fragment)	SOD1	Homo sapiens (Human)	32
SOD1		X5D5A9	X5D5A9_HUMAN	unreviewed	Superoxide dismutase (EC 1.15.1.1) (Fragment)	SOD1	Homo sapiens (Human)	39
SSPN		F5H0K2	F5H0K2_HUMAN	unreviewed	Sarcospan	SSPN	Homo sapiens (Human)	128
SSPN		F5H381	F5H381_HUMAN	unreviewed	Sarcospan (Fragment)	SSPN	Homo sapiens (Human)	120
SSPN		Q14714	SSPN_HUMAN	reviewed	Sarcospan (K-ras oncogene-associated protein) (Kirsten-ras-associated protein)	SSPN KRAG	Homo sapiens (Human)	243
STAM		A6NMU3	A6NMU3_HUMAN	unreviewed	Signal transducing adapter molecule 1 (Fragment)	STAM	Homo sapiens (Human)	173
STAM		C9J1E5	C9J1E5_HUMAN	unreviewed	Signal transducing adapter molecule 1	STAM	Homo sapiens (Human)	42
STAM		Q92783	STAM1_HUMAN	reviewed	Signal transducing adapter molecule 1 (STAM-1)	STAM STAM1	Homo sapiens (Human)	540
STX12		B1AJQ6	B1AJQ6_HUMAN	unreviewed	Syntaxin-12 (Fragment)	STX12	Homo sapiens (Human)	215
STX12		Q6LEU0	Q6LEU0_HUMAN	unreviewed	STX12 protein (Fragment)	STX12	Homo sapiens (Human)	269
STX12		Q86Y82	STX12_HUMAN	reviewed	Syntaxin-12	STX12	Homo sapiens (Human)	276
STX16		B4DJX9	B4DJX9_HUMAN	unreviewed	Syntaxin 16, isoform CRA_c (cDNA FLJ57384, highly similar to Syntaxin-16) (cDNA, FLJ79446, highly similar to Syntaxin-16)	STX16 hCG_28549	Homo sapiens (Human)	139
STX16		B7ZBM4	B7ZBM4_HUMAN	unreviewed	Syntaxin-16 (Fragment)	STX16	Homo sapiens (Human)	120
STX16		B7ZBM5	B7ZBM5_HUMAN	unreviewed	Syntaxin-16 (Fragment)	STX16	Homo sapiens (Human)	122
STX16		B7ZBM8	B7ZBM8_HUMAN	unreviewed	Syntaxin-16 (Fragment)	STX16	Homo sapiens (Human)	219
STX16		E9PLV7	E9PLV7_HUMAN	unreviewed	Syntaxin-16	STX16	Homo sapiens (Human)	46
STX16		E9PND6	E9PND6_HUMAN	unreviewed	Syntaxin-16	STX16	Homo sapiens (Human)	79
STX16		F8W9Z6	F8W9Z6_HUMAN	unreviewed	Syntaxin-16 (Fragment)	STX16	Homo sapiens (Human)	204
STX16		H0YEW0	H0YEW0_HUMAN	unreviewed	Syntaxin-16 (Fragment)	STX16	Homo sapiens (Human)	126
STX16		O14662	STX16_HUMAN	reviewed	Syntaxin-16 (Syn16)	STX16	Homo sapiens (Human)	325
STX16		Q96NX8	Q96NX8_HUMAN	unreviewed	Syntaxin-16 (Syntaxin-16D)	STX16	Homo sapiens (Human)	202
STX7		O15400	STX7_HUMAN	reviewed	Syntaxin-7	STX7	Homo sapiens (Human)	261
TMED10		A0A024R6I3	A0A024R6I3_HUMAN	unreviewed	Testicular tissue protein Li 206 (Transmembrane emp24-like trafficking protein 10 (Yeast), isoform CRA_a)	TMED10 hCG_22348	Homo sapiens (Human)	219
TMED10		G3V2K7	G3V2K7_HUMAN	unreviewed	Transmembrane emp24 domain-containing protein 10	TMED10	Homo sapiens (Human)	153
TMED10		P49755	TMEDA_HUMAN	reviewed	Transmembrane emp24 domain-containing protein 10 (21 kDa transmembrane-trafficking protein) (S31III125) (S31I125) (Tmp-21-I) (Transmembrane protein Tmp21) (p23) (p24 family protein delta-1) (p24delta1) (p24delta)	TMED10 TMP21	Homo sapiens (Human)	219
TMED2		E7EQ72	E7EQ72_HUMAN	unreviewed	Transmembrane emp24 domain-containing protein 2 (Fragment)	TMED2	Homo sapiens (Human)	166
TMED2		F5GX39	F5GX39_HUMAN	unreviewed	Transmembrane emp24 domain-containing protein 2	TMED2	Homo sapiens (Human)	116
TMED2		Q15363	TMED2_HUMAN	reviewed	Transmembrane emp24 domain-containing protein 2 (Membrane protein p24A) (p24) (p24 family protein beta-1) (p24beta1)	TMED2 RNP24	Homo sapiens (Human)	201
TMED2		Q6FHT8	Q6FHT8_HUMAN	unreviewed	RNP24 protein (Transmembrane emp24 domain trafficking protein 2, isoform CRA_a) (cDNA, FLJ93436, Homo sapiens coated vesicle membrane protein (RNP24), mRNA)	RNP24 TMED2 hCG_1743563	Homo sapiens (Human)	201
TMX1		G3V448	G3V448_HUMAN	unreviewed	Thioredoxin-related transmembrane protein 1	TMX1	Homo sapiens (Human)	105
TMX1		Q9H3N1	TMX1_HUMAN	reviewed	Thioredoxin-related transmembrane protein 1 (Thioredoxin domain-containing protein 1) (Transmembrane Trx-related protein)	TMX1 TMX TXNDC TXNDC1 PSEC0085 UNQ235/PRO268	Homo sapiens (Human)	280
TOM1L1		I3L0N2	I3L0N2_HUMAN	unreviewed	TOM1-like protein 1	TOM1L1	Homo sapiens (Human)	63
TOM1L1		I3L1G1	I3L1G1_HUMAN	unreviewed	TOM1-like protein 1 (Fragment)	TOM1L1	Homo sapiens (Human)	252
TOM1L1		I3L1Q1	I3L1Q1_HUMAN	unreviewed	TOM1-like protein 1 (Fragment)	TOM1L1	Homo sapiens (Human)	106
TOM1L1		I3L1T2	I3L1T2_HUMAN	unreviewed	TOM1-like protein 1	TOM1L1	Homo sapiens (Human)	38
TOM1L1		I3L367	I3L367_HUMAN	unreviewed	TOM1-like protein 1 (Fragment)	TOM1L1	Homo sapiens (Human)	229
TOM1L1		I3L3M3	I3L3M3_HUMAN	unreviewed	TOM1-like protein 1	TOM1L1	Homo sapiens (Human)	92
TOM1L1		I3L3T4	I3L3T4_HUMAN	unreviewed	TOM1-like protein 1	TOM1L1	Homo sapiens (Human)	225
TOM1L1		I3L4G0	I3L4G0_HUMAN	unreviewed	TOM1-like protein 1 (Fragment)	TOM1L1	Homo sapiens (Human)	199
TOM1L1		I3L4I4	I3L4I4_HUMAN	unreviewed	TOM1-like protein 1	TOM1L1	Homo sapiens (Human)	469
TOM1L1		I3L4N3	I3L4N3_HUMAN	unreviewed	TOM1-like protein 1 (Fragment)	TOM1L1	Homo sapiens (Human)	122
TOM1L1		I3NI44	I3NI44_HUMAN	unreviewed	TOM1-like protein 1	TOM1L1	Homo sapiens (Human)	326
TOM1L1		J3KQU4	J3KQU4_HUMAN	unreviewed	TOM1-like protein 1 (Target of myb1-like 1 (Chicken), isoform CRA_b)	TOM1L1 hCG_32771	Homo sapiens (Human)	465
TOM1L1		K7EP47	K7EP47_HUMAN	unreviewed	TOM1-like protein 1 (Fragment)	TOM1L1	Homo sapiens (Human)	125
TOM1L1		O75674	TM1L1_HUMAN	reviewed	TOM1-like protein 1 (Src-activating and signaling molecule protein) (Target of Myb-like protein 1)	TOM1L1 SRCASM	Homo sapiens (Human)	476
TPD52		E5RFR7	E5RFR7_HUMAN	unreviewed	Tumor protein D52	TPD52	Homo sapiens (Human)	111
TPD52		E5RGI1	E5RGI1_HUMAN	unreviewed	Tumor protein D52	TPD52	Homo sapiens (Human)	38
TPD52		E5RJ27	E5RJ27_HUMAN	unreviewed	Tumor protein D52	TPD52	Homo sapiens (Human)	61
TPD52		E5RK35	E5RK35_HUMAN	unreviewed	Tumor protein D52	TPD52	Homo sapiens (Human)	60
TPD52		H0YC44	H0YC44_HUMAN	unreviewed	Tumor protein D52 (Fragment)	TPD52	Homo sapiens (Human)	148
TPD52		P55327	TPD52_HUMAN	reviewed	Tumor protein D52 (Protein N8)	TPD52	Homo sapiens (Human)	224
TSG101		D3DQY6	D3DQY6_HUMAN	unreviewed	Tumor susceptibility gene 101, isoform CRA_a	TSG101 hCG_1991499	Homo sapiens (Human)	260
TSG101		F5H442	F5H442_HUMAN	unreviewed	Tumor susceptibility gene 101 protein	TSG101	Homo sapiens (Human)	365
TSG101		J3QKS4	J3QKS4_HUMAN	unreviewed	Tumor susceptibility gene 101 protein (Fragment)	TSG101	Homo sapiens (Human)	77
TSG101		J3QRU6	J3QRU6_HUMAN	unreviewed	Tumor susceptibility gene 101 protein (Fragment)	TSG101	Homo sapiens (Human)	63
TSG101		L0L6B6	L0L6B6_HUMAN	unreviewed	Tumor susceptibility protein 101 (Fragment)	TSG101	Homo sapiens (Human)	160
TSG101		Q86SI0	Q86SI0_HUMAN	unreviewed	Tumor susceptibility protein isoform 3 (Tumor susceptibility protein isoform 4)	TSG101	Homo sapiens (Human)	23
TSG101		Q99816	TS101_HUMAN	reviewed	Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101)	TSG101	Homo sapiens (Human)	390
TSPAN8		P19075	TSN8_HUMAN	reviewed	Tetraspanin-8 (Tspan-8) (Transmembrane 4 superfamily member 3) (Tumor-associated antigen CO-029)	TSPAN8 TM4SF3	Homo sapiens (Human)	237
USO1		L8E922	L8E922_HUMAN	unreviewed	Alternative protein USO1	USO1	Homo sapiens (Human)	42
USO1		O60763	USO1_HUMAN	reviewed	General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein)	USO1 VDP	Homo sapiens (Human)	962
VAMP3		K7EKX0	K7EKX0_HUMAN	unreviewed	Vesicle-associated membrane protein 3	VAMP3	Homo sapiens (Human)	72
VAMP3		Q15836	VAMP3_HUMAN	reviewed	Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin) (CEB) (Synaptobrevin-3)	VAMP3 SYB3	Homo sapiens (Human)	100
VAMP3		Q6FGG2	Q6FGG2_HUMAN	unreviewed	VAMP3 protein (Vesicle-associated membrane protein 3 (Cellubrevin)) (cDNA, FLJ92013, Homo sapiens vesicle-associated membrane protein 3 (cellubrevin)(VAMP3), mRNA)	VAMP3 hCG_21813	Homo sapiens (Human)	100
VAMP4		O75379	VAMP4_HUMAN	reviewed	Vesicle-associated membrane protein 4 (VAMP-4)	VAMP4	Homo sapiens (Human)	141
VAMP4		Q6IAZ3	Q6IAZ3_HUMAN	unreviewed	VAMP4 protein (Vesicle-associated membrane protein 4, isoform CRA_b) (cDNA FLJ76098, highly similar to Homo sapiens vesicle-associated membrane protein 4 (VAMP4), transcript variant 2, mRNA)	VAMP4 hCG_37824	Homo sapiens (Human)	141
VAMP7		E5RH06	E5RH06_HUMAN	unreviewed	Vesicle-associated membrane protein 7	VAMP7	Homo sapiens (Human)	59
VAMP7		P51809	VAMP7_HUMAN	reviewed	Vesicle-associated membrane protein 7 (VAMP-7) (Synaptobrevin-like protein 1) (Tetanus-insensitive VAMP) (Ti-VAMP)	VAMP7 SYBL1	Homo sapiens (Human)	220
VPS45		A0A087WU65	A0A087WU65_HUMAN	unreviewed	Vacuolar protein sorting-associated protein 45	VPS45	Homo sapiens (Human)	447
VPS45		A0A1B0GXI6	A0A1B0GXI6_HUMAN	unreviewed	Vacuolar protein sorting-associated protein 45 (Fragment)	VPS45	Homo sapiens (Human)	315
VPS45		B7Z7G7	B7Z7G7_HUMAN	unreviewed	Vacuolar protein sorting-associated protein 45 (cDNA FLJ52026, highly similar to Vacuolar protein sorting-associated protein 45)	VPS45	Homo sapiens (Human)	198
VPS45		Q5T4Q0	Q5T4Q0_HUMAN	unreviewed	Vacuolar protein sorting 45 homolog (S. cerevisiae) (Fragment)	VPS45 RP11-458I7.2-010	Homo sapiens (Human)	316
VPS45		Q9NRW7	VPS45_HUMAN	reviewed	Vacuolar protein sorting-associated protein 45 (h-VPS45) (hlVps45)	VPS45 VPS45A VPS45B	Homo sapiens (Human)	570
VPS4B		A0A024R2C5	A0A024R2C5_HUMAN	unreviewed	Vacuolar protein sorting 4B (Yeast), isoform CRA_a	VPS4B hCG_34094	Homo sapiens (Human)	444
VPS4B		K7EKZ3	K7EKZ3_HUMAN	unreviewed	Vacuolar protein sorting-associated protein 4B	VPS4B	Homo sapiens (Human)	128
VPS4B		K7EL71	K7EL71_HUMAN	unreviewed	Vacuolar protein sorting-associated protein 4B	VPS4B	Homo sapiens (Human)	111
VPS4B		O75351	VPS4B_HUMAN	reviewed	Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1)	VPS4B SKD1 VPS42 MIG1	Homo sapiens (Human)	444
VPS4B		Q6PJZ4	Q6PJZ4_HUMAN	unreviewed	VPS4B protein (Fragment)	VPS4B	Homo sapiens (Human)	81
YIPF6		B1AV70	B1AV70_HUMAN	unreviewed	Protein YIPF (Fragment)	YIPF6	Homo sapiens (Human)	188
YIPF6		Q96EC8	YIPF6_HUMAN	reviewed	Protein YIPF6 (YIP1 family member 6)	YIPF6	Homo sapiens (Human)	236
YKT6		A4D2J0	A4D2J0_HUMAN	unreviewed	SNARE protein Ykt6 (SNARE protein Ykt6, isoform CRA_a) (cDNA, FLJ93006, Homo sapiens SNARE protein Ykt6 (YKT6), mRNA)	YKT6 hCG_18297 tcag7.798	Homo sapiens (Human)	198
YKT6		B5BU81	B5BU81_HUMAN	unreviewed	YKT6 v-SNARE protein	YKT6	Homo sapiens (Human)	198
YKT6		H7C3K7	H7C3K7_HUMAN	unreviewed	Synaptobrevin homolog YKT6 (Fragment)	YKT6	Homo sapiens (Human)	29
YKT6		O15498	YKT6_HUMAN	reviewed	Synaptobrevin homolog YKT6 (EC 2.3.1.-)	YKT6	Homo sapiens (Human)	198
ZW10		F5H3C1	F5H3C1_HUMAN	unreviewed	Centromere/kinetochore protein zw10 homolog	ZW10	Homo sapiens (Human)	135
ZW10		O43264	ZW10_HUMAN	reviewed	Centromere/kinetochore protein zw10 homolog	ZW10	Homo sapiens (Human)	779
